N,Hmax,obs_count,placement,cover_enabled,poison_rate,accuracy,total_guesses,correct_guesses,total_messages,dummy_messages,dummy_fraction,graph_precision,graph_recall,graph_f1,estimated_nodes,estimated_edges,avg_confidence,total_replies,avg_reply_delay,conversation_threads,avg_path_length,path_diversity
50,3,5,high-degree,True,0.1,0.07090464547677261,818,58,3265,506,0.1549770290964778,0.8611111111111112,0.14903846153846154,0.25409836065573776,42,72,0.4280336222527747,1175,1.76,487,2.9607963246554365,0.733843797856049
75,3,5,cluster,True,0.1,0.05181986428130783,1621,84,5796,1284,0.22153209109730848,0.8823529411764706,0.07836990595611286,0.14395393474088294,49,85,0.4040059491242834,2138,2.028294862248697,1103,2.8963077984817116,0.7757073844030365
400,1,5,high-degree,True,0.1,0.010824616881537338,24666,267,64359,34898,0.5422396246057273,0.9130434782608695,0.0014731156395777069,0.0029414854501523266,48,46,0.35355323109021897,17226,2.5445590994371483,24966,2.580338414207803,0.8655199738964248
300,3,5,random,True,0.05,0.011887840806305724,15478,184,41389,19388,0.4684336417888811,0.9636363636363636,0.0033044454143026374,0.006586305455449236,52,55,0.3559189813678062,12777,2.4918556857969247,14735,2.581748773828795,0.8600352750730871
100,1,5,high-degree,False,0.0,0.051423324150596875,1089,56,6217,0,0.0,1.0,0.01687027341477603,0.03318077803203661,29,29,0.40554373239916675,3232,2.1879854997410666,1792,2.8294997587260737,0.854913945632942
150,3,5,cluster,False,0.0,0.02621082621082621,1755,46,10304,0,0.0,0.9259259259259259,0.0063484002031488065,0.012610340479192938,24,27,0.37946509223598857,5585,2.310165638194219,3664,2.686335403726708,0.8767468944099379
50,1,5,high-degree,False,0.0,0.08189655172413793,464,38,2783,0,0.0,0.8771929824561403,0.1201923076923077,0.21141649048625794,40,57,0.43004348488768346,1199,1.7990196078431373,483,2.9698167445203016,0.755300035932447
100,1,5,cluster,True,0.05,0.042901716068642744,2564,110,8374,2126,0.25388106042512537,0.7746478873239436,0.031995346131471786,0.061452513966480445,48,71,0.3870920955039784,3263,2.164285714285714,1931,2.8156197754955814,0.8063052304752806
200,3,5,cluster,True,0.05,0.017197452229299363,7850,135,22820,8504,0.3726555652936021,0.8648648648648649,0.00904977375565611,0.017912118667786178,65,74,0.3728675998606496,7800,2.4048360067033756,7086,2.6222173531989483,0.8455302366345311
150,3,5,cluster,True,0.05,0.023014256619144604,4910,113,15181,4775,0.31453790922864105,0.9032258064516129,0.02133062468257999,0.041677003225006205,61,93,0.39827001571217363,5687,2.3044950738916254,4167,2.685132731704104,0.8335419274092616
150,3,5,random,True,0.05,0.02113821138211382,4920,104,15026,4724,0.314388393451351,0.8840579710144928,0.015490096495683088,0.030446718243074617,62,69,0.3730675690151176,5583,2.2985359643539147,4167,2.6823505923066686,0.8338879275921736
300,1,5,random,False,0.0,0.018972332015810278,3795,72,22032,0,0.0,1.0,0.000748176320219465,0.0014952339418104789,16,12,0.34187038589023117,12808,2.5152765047357164,10495,2.6057552650689906,0.9255628177196805
200,3,5,random,True,0.05,0.01678777248809822,7982,134,23082,8721,0.3778268780868209,0.8727272727272727,0.006787330316742082,0.013469903185070858,51,55,0.3720908013431112,7845,2.3317546767700685,7112,2.623602807382376,0.8449007884931982
100,1,5,high-degree,True,0.1,0.02821939586645469,2516,71,8295,2104,0.2536467751657625,0.9186046511627907,0.04595695171611402,0.08753462603878116,64,86,0.3857054722179622,3206,2.116998950682057,1943,2.8156720916214586,0.8072332730560579
400,1,5,random,False,0.0,0.015618821668643732,5058,79,29527,0,0.0,1.0,0.000455964364631195,0.0009115131117655308,16,13,0.32937312538073943,17292,2.531697581591923,15648,2.603718630406069,0.9386324381074949
200,3,5,high-degree,True,0.1,0.013988611042337212,8078,113,23260,8825,0.3794067067927773,0.9402985074626866,0.008908371040723981,0.017649530746603165,62,67,0.3782954036192347,7919,2.365950490425035,7067,2.6182287188306104,0.8408856405846947
50,3,5,random,True,0.1,0.07305389221556886,835,61,3282,517,0.15752589884216942,0.8266666666666667,0.14903846153846154,0.2525458248472505,44,75,0.4238260216159831,1181,1.8032378580323787,495,2.952468007312614,0.7321755027422303
100,3,5,random,False,0.0,0.04316546762589928,1112,48,6251,0,0.0,0.9333333333333333,0.016288539848749273,0.03201829616923957,31,30,0.3925455295338569,3266,2.231987736331119,1815,2.8336266197408415,0.8526635738281875
75,1,5,cluster,False,0.0,0.052700922266139656,759,40,4512,0,0.0,0.8260869565217391,0.03970741901776385,0.07577268195413758,33,46,0.4003085820181178,2138,1.9932935916542474,1072,2.934618794326241,0.8251329787234043
400,1,5,cluster,True,0.1,0.00806386905239509,24926,201,66214,36843,0.5564231129368411,0.8615384615384616,0.001964154186103609,0.003919372900335946,63,65,0.3847931402053726,17136,2.5517897490783685,25355,2.5799226749629987,0.8634578789983991
200,1,5,random,False,0.0,0.02526315789473684,2375,60,14275,0,0.0,1.0,0.001838235294117647,0.0036697247706422016,18,13,0.38040111842890756,7759,2.3624210014584346,5824,2.6392994746059544,0.904938704028021
75,1,5,cluster,True,0.1,0.04338983050847458,1475,64,5501,1041,0.18923832030539903,0.8059701492537313,0.05642633228840126,0.10546875,42,67,0.40396270819187746,2086,2.033204633204633,1112,2.8969278313033993,0.7791310670787129
100,3,5,random,True,0.05,0.03420523138832998,2485,85,8276,2018,0.24383760270662155,0.8356164383561644,0.035485747527632346,0.06808035714285714,62,73,0.3955172795103356,3273,2.1992864424057084,1939,2.8119864668922183,0.8141614306428226
75,1,5,random,True,0.1,0.04665438919582566,1629,76,5753,1230,0.21380149487224057,0.8518518518518519,0.07210031347962383,0.1329479768786127,61,81,0.4114326765294566,2149,1.9911176905995558,1106,2.9005736137667304,0.7787241439249087
200,1,5,high-degree,True,0.05,0.015819502074688796,7712,122,22671,8304,0.3662829165012571,0.922077922077922,0.010039592760180996,0.019862917890614073,73,77,0.36959912979391407,7851,2.34445768772348,7024,2.6244982576860307,0.8460588416920295
100,1,5,random,True,0.1,0.03389830508474576,2537,86,8346,2104,0.2520968128444764,0.9090909090909091,0.04072134962187318,0.0779510022271715,63,77,0.392792179435634,3257,2.2046272493573267,1916,2.81104720824347,0.8123652048885693
50,3,5,random,True,0.05,0.08290816326530612,784,65,3224,448,0.13895781637717122,0.7605633802816901,0.12980769230769232,0.22176591375770024,42,71,0.42814255066734735,1192,1.8244746600741657,493,2.957196029776675,0.7310794044665012
100,3,5,high-degree,True,0.1,0.031777167516673206,2549,81,8313,2092,0.2516540358474678,0.9036144578313253,0.04363001745200698,0.0832408435072142,61,83,0.4011069872401223,3236,2.154081632653061,1918,2.808011548177553,0.8031998075303741
