N,Hmax,obs_count,placement,cover_enabled,accuracy,graph_f1,graph_precision,graph_recall,dummy_fraction,avg_path_length,path_diversity,total_replies,conversation_threads
50,3,5,cluster,True,0.066,0.219,0.779,0.127,0.159,2.955,0.736,1173,490
50,3,5,high-degree,True,0.071,0.254,0.861,0.149,0.155,2.961,0.734,1175,487
50,1,5,cluster,True,0.071,0.248,0.896,0.144,0.156,2.97,0.738,1187,493
50,1,5,cluster,True,0.072,0.247,0.782,0.147,0.436,2.94,0.652,1227,488
50,3,5,random,True,0.073,0.253,0.827,0.149,0.158,2.952,0.732,1181,495
50,1,5,high-degree,True,0.074,0.246,0.845,0.144,0.152,2.94,0.73,1167,490
50,1,5,random,True,0.076,0.216,0.8,0.125,0.154,2.969,0.74,1183,490
50,1,5,high-degree,False,0.082,0.211,0.877,0.12,0.0,2.97,0.755,1199,483
50,3,5,random,True,0.083,0.222,0.761,0.13,0.139,2.957,0.731,1192,493
50,1,5,random,False,0.085,0.197,0.885,0.111,0.0,2.959,0.763,1193,488
50,1,5,random,True,0.088,0.244,0.881,0.142,0.15,2.957,0.737,1191,490
50,1,5,cluster,False,0.09,0.183,0.811,0.103,0.0,2.981,0.763,1206,487
50,3,5,cluster,False,0.091,0.208,0.891,0.118,0.0,2.982,0.772,1171,486
50,3,5,high-degree,True,0.092,0.261,0.853,0.154,0.147,2.962,0.74,1180,487
50,3,5,random,False,0.093,0.209,0.907,0.118,0.0,2.979,0.767,1187,491
50,3,5,high-degree,False,0.096,0.225,0.857,0.13,0.0,2.991,0.767,1217,492
50,1,5,high-degree,True,0.098,0.257,0.851,0.151,0.15,2.958,0.737,1203,485
50,3,5,cluster,True,0.102,0.229,0.757,0.135,0.158,2.981,0.732,1195,489
75,1,5,random,True,0.039,0.134,0.833,0.073,0.205,2.91,0.789,2133,1109
75,1,5,cluster,True,0.039,0.139,0.923,0.075,0.24,2.891,0.773,2125,1115
75,1,5,high-degree,True,0.042,0.137,0.91,0.074,0.195,2.892,0.776,2173,1102
75,1,5,cluster,True,0.043,0.105,0.806,0.056,0.189,2.897,0.779,2086,1112
75,1,5,high-degree,True,0.044,0.141,0.924,0.076,0.195,2.902,0.785,2091,1119
75,3,5,high-degree,True,0.046,0.155,0.942,0.085,0.208,2.89,0.773,2121,1102
75,3,5,high-degree,True,0.046,0.127,0.929,0.068,0.2,2.901,0.783,2132,1099
75,1,5,random,True,0.047,0.133,0.852,0.072,0.214,2.901,0.779,2149,1106
75,3,5,high-degree,False,0.051,0.084,0.955,0.044,0.0,2.929,0.828,2113,1081
75,3,5,cluster,True,0.052,0.144,0.882,0.078,0.222,2.896,0.776,2138,1103
75,1,5,cluster,False,0.053,0.076,0.826,0.04,0.0,2.935,0.825,2138,1072
75,3,5,random,True,0.053,0.126,0.844,0.068,0.193,2.902,0.78,2160,1104
75,3,5,random,False,0.054,0.095,0.923,0.05,0.0,2.925,0.831,2157,1072
75,3,5,cluster,True,0.055,0.116,0.922,0.062,0.203,2.889,0.779,2134,1115
75,3,5,cluster,False,0.055,0.074,0.925,0.039,0.0,2.919,0.819,2156,1077
75,3,5,random,True,0.058,0.124,0.831,0.067,0.204,2.898,0.777,2086,1100
75,1,5,high-degree,False,0.07,0.09,0.978,0.047,0.0,2.926,0.825,2094,1061
75,1,5,random,False,0.071,0.09,1.0,0.047,0.0,2.92,0.821,2159,1075
100,1,5,high-degree,True,0.028,0.088,0.919,0.046,0.254,2.816,0.807,3206,1943
100,3,5,random,True,0.029,0.082,0.892,0.043,0.247,2.805,0.807,3230,1909
100,1,5,high-degree,True,0.03,0.081,0.912,0.042,0.255,2.813,0.805,3215,1902
100,3,5,high-degree,True,0.032,0.083,0.904,0.044,0.252,2.808,0.803,3236,1918
100,3,5,high-degree,True,0.032,0.078,0.897,0.041,0.245,2.827,0.814,3252,1938
100,3,5,random,True,0.034,0.068,0.836,0.035,0.244,2.812,0.814,3273,1939
100,1,5,random,True,0.034,0.078,0.909,0.041,0.252,2.811,0.812,3257,1916
100,1,5,cluster,True,0.037,0.079,0.899,0.041,0.244,2.807,0.808,3236,1927
100,3,5,cluster,True,0.038,0.071,0.926,0.037,0.252,2.816,0.805,3270,1925
100,1,5,cluster,False,0.04,0.041,0.973,0.021,0.0,2.83,0.852,3246,1804
100,3,5,cluster,False,0.04,0.032,0.8,0.016,0.0,2.836,0.858,3257,1842
100,3,5,cluster,True,0.041,0.076,0.85,0.04,0.245,2.814,0.812,3177,1916
100,1,5,random,False,0.041,0.038,0.917,0.019,0.0,2.825,0.857,3141,1811
100,1,5,cluster,True,0.043,0.061,0.775,0.032,0.254,2.816,0.806,3263,1931
100,3,5,random,False,0.043,0.032,0.933,0.016,0.0,2.834,0.853,3266,1815
100,1,5,random,True,0.044,0.084,0.864,0.044,0.249,2.821,0.811,3222,1911
100,3,5,high-degree,False,0.049,0.03,0.963,0.015,0.0,2.826,0.856,3142,1804
100,1,5,high-degree,False,0.051,0.033,1.0,0.017,0.0,2.829,0.855,3232,1792
150,3,5,cluster,True,0.02,0.034,0.932,0.017,0.309,2.689,0.833,5660,4163
150,3,5,random,True,0.021,0.03,0.884,0.015,0.314,2.682,0.834,5583,4167
150,1,5,high-degree,True,0.021,0.034,0.896,0.018,0.313,2.687,0.833,5568,4144
150,3,5,high-degree,True,0.021,0.029,0.937,0.015,0.312,2.688,0.834,5620,4124
150,1,5,random,True,0.022,0.038,0.875,0.02,0.308,2.688,0.836,5645,4138
150,1,5,cluster,True,0.022,0.031,0.899,0.016,0.316,2.685,0.83,5641,4141
150,3,5,cluster,True,0.023,0.042,0.903,0.021,0.315,2.685,0.834,5687,4167
150,1,5,random,True,0.023,0.033,0.779,0.017,0.312,2.686,0.836,5474,4138
150,3,5,random,True,0.025,0.033,0.931,0.017,0.318,2.694,0.841,5550,4159
150,1,5,high-degree,True,0.025,0.032,0.928,0.016,0.31,2.676,0.828,5603,4130
150,3,5,cluster,False,0.026,0.013,0.926,0.006,0.0,2.686,0.877,5585,3664
150,1,5,cluster,True,0.026,0.03,0.813,0.015,0.338,2.679,0.824,5617,4175
150,3,5,high-degree,True,0.027,0.034,0.944,0.017,0.31,2.684,0.831,5599,4136
150,1,5,random,False,0.03,0.013,1.0,0.006,0.0,2.691,0.882,5614,3659
150,3,5,random,False,0.032,0.01,0.826,0.005,0.0,2.691,0.883,5497,3673
150,1,5,high-degree,False,0.035,0.008,1.0,0.004,0.0,2.686,0.882,5522,3648
150,3,5,high-degree,False,0.036,0.007,0.933,0.004,0.0,2.693,0.883,5499,3678
150,1,5,cluster,False,0.04,0.014,0.964,0.007,0.0,2.697,0.88,5532,3673
200,3,5,random,True,0.013,0.017,0.861,0.009,0.373,2.62,0.842,7944,7078
200,3,5,high-degree,True,0.014,0.018,0.94,0.009,0.379,2.618,0.841,7919,7067
