N,Hmax,obs_count,placement,cover_enabled,poison_rate,accuracy,total_guesses,correct_guesses,total_messages,dummy_messages,dummy_fraction,graph_precision,graph_recall,graph_f1,estimated_nodes,estimated_edges,avg_confidence,total_replies,avg_reply_delay,conversation_threads,avg_path_length,path_diversity
200,1,10,cluster,True,0.1,0.019896640826873386,7740,154,22261,8418,0.3781501280265936,0.9173553719008265,0.015695701357466063,0.030863339357708883,92,121,0.37613865215552844,7812,2.3896510228640193,7037,2.620547145231571,0.8511297785364539
150,3,5,random,True,0.1,0.02596606011040687,4891,127,14910,4813,0.32280348759222,0.9024390243902439,0.018791264601320468,0.036815920398009946,66,82,0.38016662720826994,5531,2.3247807729782397,4171,2.6831656606304493,0.8289067739771965
50,1,5,random,False,0.0,0.09090909090909091,473,43,2756,0,0.0,0.864406779661017,0.12259615384615384,0.21473684210526317,39,59,0.41231296516729743,1166,1.8527918781725887,473,2.9738751814223514,0.7590711175616836
50,1,5,cluster,True,0.1,0.06299212598425197,762,48,3177,443,0.1394397230091281,0.8769230769230769,0.13701923076923078,0.237006237006237,39,65,0.4193690169299167,1144,1.7572178477690288,482,2.9842618822788793,0.7396915328926661
50,2,5,high-degree,True,0.05,0.06181818181818182,825,51,3318,515,0.15521398432790837,0.8717948717948718,0.16346153846153846,0.27530364372469635,48,78,0.4322392289608479,1213,1.845873786407767,484,2.98583484026522,0.7399035563592525
100,3,10,random,True,0.1,0.03395931142410016,6390,217,15343,9069,0.591083881900541,0.7864077669902912,0.14136125654450263,0.2396449704142012,100,309,0.4535343684985718,3275,2.1920563097033687,1972,2.8150948315192594,0.6984944274261878
50,1,10,random,True,0.05,0.07253886010362694,772,56,3220,462,0.14347826086956522,0.8181818181818182,0.25961538461538464,0.39416058394160586,50,132,0.4292620517174483,1168,1.671267252195734,481,2.9717391304347824,0.7329192546583851
100,2,10,cluster,True,0.05,0.03737574552683896,2515,94,8277,2064,0.2493657122145705,0.8611111111111112,0.07213496218731821,0.13311862587224907,78,144,0.38331188367347835,3214,2.0946989191971177,1917,2.819862268938021,0.811042648302525
300,1,5,cluster,True,0.1,0.010694489729377242,15335,164,41547,19507,0.4695164512479842,0.8857142857142857,0.0038655776544672363,0.007697560369979514,60,70,0.3883192454178963,12740,2.4833180287725742,14824,2.585192673357884,0.8583291212361903
300,2,5,random,False,0.0,0.020204741379310345,3712,75,22195,0,0.0,0.8,0.0009975684269592868,0.0019926520953982194,23,20,0.37310950630102135,12895,2.4804881723670333,10586,2.59761207479162,0.9248479387249381
400,2,5,random,True,0.05,0.009938650306748465,24450,243,64395,34485,0.5355229443279758,0.875,0.001964154186103609,0.003919510061242345,66,64,0.3627686265332166,17302,2.509943016629841,24997,2.5824365245748893,0.8646012889199473
300,1,10,high-degree,True,0.05,0.010387032748924909,15115,157,41012,19007,0.46344972203257584,0.9339622641509434,0.006172454641810586,0.01226385877980799,94,106,0.37507005010698674,12705,2.49507540781779,14791,2.5837072076465426,0.8615039500633961
150,3,5,high-degree,True,0.1,0.021544715447154472,4920,106,14943,4691,0.3139262530950947,0.9210526315789473,0.017775520568816656,0.03487792725460886,68,76,0.386895288794252,5686,2.3280766852195423,4137,2.6889513484574716,0.8361105534363916
300,3,5,cluster,False,0.0,0.019733333333333332,3750,74,22193,0,0.0,0.875,0.0008728723735893759,0.0017440049828713797,18,16,0.35075032640929177,12893,2.4770946353224836,10546,2.5940161312125447,0.9212814851529761
75,1,5,random,False,0.0,0.05584415584415584,770,43,4483,0,0.0,0.9464285714285714,0.055381400208986416,0.104639684106614,41,56,0.4172303694332366,2212,2.024355300859599,1072,2.9335266562569706,0.8291322774927504
75,3,10,random,False,0.0,0.06103896103896104,770,47,4469,0,0.0,0.9574468085106383,0.09404388714733543,0.1712654614652712,60,94,0.4065485462472091,2198,2.0158959537572256,1068,2.9232490490042515,0.8198702170507943
75,1,10,cluster,False,0.0,0.06874189364461739,771,53,4459,0,0.0,0.9090909090909091,0.08359456635318704,0.15311004784688995,51,88,0.39389778368563866,2188,2.079330422125182,1070,2.9324960753532183,0.8223816999327204
150,1,10,random,False,0.0,0.03428571428571429,1750,60,10167,0,0.0,0.875,0.008887760284408328,0.017596782302664656,45,40,0.389103894653047,5601,2.295097725088113,3631,2.6953870364906067,0.8871840267532212
150,1,10,cluster,True,0.1,0.031610942249240125,4935,156,15130,4941,0.3265697290152016,0.8523489932885906,0.03224987303199594,0.06214827501835087,84,149,0.3842151719243578,5623,2.2596996245306635,4173,2.693853271645737,0.8319233311302049
400,3,5,cluster,False,0.0,0.013627254509018036,4990,68,29818,0,0.0,1.0,0.000455964364631195,0.0009115131117655308,17,13,0.328063791821271,17210,2.518833392372181,15671,2.5969883962707088,0.9381246227111141
50,3,5,cluster,False,0.0,0.07322175732217573,478,35,2792,0,0.0,0.8448275862068966,0.11778846153846154,0.20675105485232068,39,58,0.4136035483521097,1202,1.9249692496924968,475,2.9849570200573066,0.7621776504297995
200,3,10,high-degree,True,0.1,0.017759562841530054,8052,143,22838,8892,0.389351081530782,0.9672131147540983,0.01668552036199095,0.03280511537392271,94,122,0.3805737993039137,7915,2.365470326061459,7072,2.6216393729748666,0.8415798231018478
100,2,10,random,False,0.0,0.06255835667600373,1071,67,6204,0,0.0,0.9701492537313433,0.03781268179173938,0.07278835386338187,56,67,0.4010865659519235,3205,2.103195390256679,1799,2.8304319793681496,0.8470341715022566
50,2,5,cluster,False,0.0,0.10212765957446808,470,48,2817,0,0.0,0.8653846153846154,0.10817307692307693,0.19230769230769232,33,52,0.4236208455637112,1227,1.8871733966745843,481,2.9936102236421727,0.7628682996095136
75,1,5,high-degree,True,0.05,0.047501542257865514,1621,77,5688,1231,0.21642053445850915,0.9367088607594937,0.07732497387669801,0.14285714285714285,56,79,0.4095856691998721,2186,2.024602026049204,1094,2.908931082981716,0.7816455696202531
75,2,5,random,False,0.0,0.07275132275132275,756,55,4434,0,0.0,0.8936170212765957,0.0438871473354232,0.08366533864541832,39,47,0.408330686974133,2163,2.034782608695652,1062,2.9264772214704555,0.8236355435272892
