N,Hmax,obs_count,placement,cover_enabled,accuracy,graph_f1,graph_precision,graph_recall,dummy_fraction,avg_path_length,path_diversity,total_replies,conversation_threads
50,2,5,random,True,0.051,0.273,0.829,0.163,0.436,2.964,0.653,1169,486
50,2,5,high-degree,True,0.055,0.288,0.857,0.173,0.142,2.98,0.739,1188,486
50,2,5,high-degree,True,0.062,0.275,0.872,0.163,0.155,2.986,0.74,1213,484
50,1,5,cluster,True,0.063,0.237,0.877,0.137,0.139,2.984,0.74,1144,482
50,3,5,high-degree,True,0.07,0.286,0.888,0.171,0.143,2.955,0.72,1176,488
50,2,5,cluster,True,0.071,0.256,0.829,0.151,0.14,2.983,0.737,1169,480
50,3,5,high-degree,False,0.071,0.238,0.905,0.137,0.0,2.999,0.778,1143,479
50,1,5,random,True,0.071,0.255,0.873,0.149,0.153,2.973,0.725,1208,483
50,1,10,random,True,0.073,0.394,0.818,0.26,0.143,2.972,0.733,1168,481
50,3,5,cluster,False,0.073,0.207,0.845,0.118,0.0,2.985,0.762,1202,475
50,3,5,cluster,True,0.073,0.257,0.851,0.151,0.184,2.94,0.724,1155,488
50,1,5,cluster,False,0.075,0.18,0.824,0.101,0.0,2.997,0.773,1156,480
50,1,10,high-degree,True,0.077,0.432,0.857,0.288,0.155,2.985,0.739,1172,480
50,3,5,random,True,0.077,0.251,0.871,0.147,0.139,2.975,0.734,1207,482
50,1,5,high-degree,False,0.077,0.252,0.884,0.147,0.0,3.023,0.776,1184,469
50,3,5,random,True,0.079,0.246,0.845,0.144,0.15,2.973,0.733,1163,480
50,1,10,cluster,True,0.079,0.396,0.837,0.26,0.161,2.963,0.722,1177,478
50,3,10,random,True,0.08,0.404,0.853,0.264,0.143,2.967,0.729,1174,484
50,1,5,cluster,True,0.08,0.239,0.841,0.139,0.14,2.983,0.739,1154,484
50,3,10,cluster,False,0.08,0.341,0.88,0.212,0.0,3.004,0.761,1236,480
50,1,5,high-degree,True,0.08,0.278,0.862,0.166,0.151,2.99,0.74,1145,480
50,1,10,cluster,False,0.082,0.311,0.859,0.19,0.0,2.988,0.762,1167,472
