N,Hmax,obs_count,placement,cover_enabled,accuracy,graph_f1,graph_precision,graph_recall,dummy_fraction,avg_path_length,path_diversity,total_replies,conversation_threads
50,3,5,high-degree,True,0.064,0.279,0.944,0.163,0.154,2.967,0.724,1173,473
50,1,5,random,True,0.064,0.243,0.843,0.142,0.154,2.958,0.731,1198,484
50,1,5,high-degree,True,0.073,0.279,0.944,0.163,0.14,2.984,0.739,1191,475
50,3,5,random,True,0.073,0.225,0.844,0.13,0.145,2.96,0.729,1186,483
50,3,5,random,True,0.073,0.275,0.931,0.161,0.15,2.974,0.735,1190,477
50,3,5,random,False,0.076,0.216,0.911,0.123,0.0,2.963,0.754,1164,477
50,1,5,cluster,True,0.077,0.237,0.877,0.137,0.15,2.956,0.722,1202,478
50,3,5,cluster,True,0.077,0.26,0.831,0.154,0.16,2.952,0.726,1224,479
50,3,5,high-degree,False,0.078,0.236,0.966,0.135,0.0,2.953,0.741,1179,466
50,1,5,cluster,True,0.078,0.254,0.849,0.149,0.152,2.972,0.729,1160,479
50,3,5,high-degree,True,0.083,0.291,0.923,0.173,0.148,2.967,0.729,1215,482
50,3,5,cluster,False,0.083,0.186,0.915,0.103,0.0,2.983,0.751,1191,473
50,1,5,high-degree,True,0.084,0.287,0.91,0.171,0.15,2.984,0.736,1174,473
50,1,5,high-degree,False,0.084,0.244,0.967,0.139,0.0,2.983,0.754,1183,467
50,3,5,cluster,True,0.089,0.224,0.818,0.13,0.14,2.954,0.732,1182,480
50,1,5,random,True,0.094,0.211,0.847,0.12,0.147,2.974,0.732,1196,482
50,1,5,random,False,0.104,0.201,0.904,0.113,0.0,2.989,0.754,1172,473
50,1,5,cluster,False,0.105,0.189,0.898,0.106,0.0,2.985,0.764,1144,475
75,3,5,high-degree,True,0.039,0.124,0.842,0.067,0.224,2.883,0.774,2142,1085
75,1,5,high-degree,True,0.04,0.135,0.875,0.073,0.199,2.895,0.781,2176,1078
75,1,5,random,True,0.042,0.12,0.816,0.065,0.199,2.899,0.784,2129,1070
75,1,5,random,True,0.047,0.122,0.875,0.066,0.193,2.898,0.785,2137,1080
75,3,5,high-degree,False,0.048,0.076,0.974,0.04,0.0,2.901,0.811,2146,1045
75,1,5,cluster,True,0.048,0.119,0.897,0.064,0.21,2.894,0.782,2112,1079
75,1,5,random,False,0.048,0.082,0.976,0.043,0.0,2.911,0.814,2180,1039
75,3,5,random,True,0.049,0.146,0.894,0.079,0.194,2.892,0.783,2227,1084
75,3,5,cluster,True,0.051,0.13,0.87,0.07,0.192,2.905,0.792,2187,1079
75,3,5,high-degree,True,0.052,0.127,0.942,0.068,0.203,2.906,0.794,2066,1076
75,1,5,cluster,True,0.052,0.141,0.89,0.076,0.196,2.895,0.776,2171,1069
75,1,5,high-degree,True,0.053,0.139,0.889,0.075,0.2,2.911,0.787,2161,1082
75,3,5,cluster,True,0.055,0.13,0.905,0.07,0.203,2.9,0.776,2140,1076
75,3,5,random,False,0.06,0.095,0.923,0.05,0.0,2.903,0.82,2192,1038
75,1,5,cluster,False,0.067,0.093,0.922,0.049,0.0,2.909,0.821,2163,1035
75,1,5,high-degree,False,0.067,0.088,0.957,0.046,0.0,2.911,0.827,2188,1046
75,3,5,random,True,0.068,0.136,0.807,0.074,0.193,2.91,0.785,2187,1081
75,3,5,cluster,False,0.073,0.095,0.98,0.05,0.0,2.906,0.816,2151,1042
100,3,5,random,True,0.028,0.076,0.907,0.04,0.242,2.808,0.805,3265,1893
100,3,5,high-degree,True,0.032,0.103,0.949,0.055,0.237,2.818,0.804,3284,1917
100,3,5,random,True,0.032,0.074,0.943,0.038,0.232,2.807,0.807,3238,1907
