N,Hmax,obs_count,placement,cover_enabled,poison_rate,accuracy,total_guesses,correct_guesses,total_messages,dummy_messages,dummy_fraction,graph_precision,graph_recall,graph_f1,estimated_nodes,estimated_edges,avg_confidence,total_replies,avg_reply_delay,conversation_threads,avg_path_length,path_diversity
150,3,5,random,True,0.1,0.024640657084188913,4870,120,15058,4693,0.31166157524239607,0.9411764705882353,0.016251904520060943,0.03195207189216175,60,68,0.37644548985779713,5620,2.2758620689655173,4111,2.6837561429140657,0.8321822287156329
200,1,5,random,True,0.05,0.019542725763188145,7829,153,22551,8553,0.37927364640148997,0.8970588235294118,0.008625565610859729,0.01708683473389356,66,68,0.3787567324724743,7847,2.394484412470024,7007,2.631058489645692,0.8494966963771008
400,3,5,random,True,0.05,0.009104399791441063,24933,227,64945,35617,0.5484178920625145,0.9411764705882353,0.0016835607309459506,0.003361109166024788,52,51,0.35977777293296476,17216,2.564280668707323,25042,2.579336361536685,0.862914774039572
100,3,5,high-degree,False,0.0,0.06038426349496798,1093,66,6340,0,0.0,0.9767441860465116,0.02443280977312391,0.04767309875141884,39,43,0.39843771823324436,3290,2.2023445463812434,1785,2.82807570977918,0.844794952681388
150,1,5,random,True,0.05,0.023710482529118136,4808,114,15002,4619,0.3078922810291961,0.8787878787878788,0.014728288471305232,0.028971028971028972,52,66,0.3808805169343542,5638,2.2838810641627543,4146,2.6877749633382217,0.8360885215304626
200,1,5,high-degree,False,0.0,0.028428093645484948,2392,68,14118,0,0.0,0.9655172413793104,0.003959276018099547,0.007886213209407127,33,29,0.36059058712065273,7967,2.3495934959349594,5772,2.6389715257118573,0.9017566227510979
50,3,5,high-degree,False,0.0,0.078125,448,35,2715,0,0.0,0.9655172413793104,0.1346153846153846,0.2362869198312236,39,58,0.42630829758115935,1179,1.7180124223602484,466,2.9528545119705343,0.7410681399631676
150,1,5,high-degree,False,0.0,0.026744186046511628,1720,46,10293,0,0.0,0.9375,0.007618080243778568,0.015113350125944586,34,32,0.37396725738064096,5548,2.23424,3679,2.6894005634897504,0.8796269309239289
100,1,5,high-degree,True,0.05,0.03629690048939641,2452,89,8298,1999,0.24090142202940468,0.8947368421052632,0.04944735311227458,0.09371554575523705,60,95,0.3915372839563889,3249,2.1502564102564103,1897,2.814895155459147,0.8039286575078333
150,1,5,high-degree,True,0.1,0.023794744465135527,4833,115,15033,4668,0.31051686290161645,0.9186046511627907,0.02006094464195023,0.03926441351888668,73,86,0.38635869689888225,5620,2.3302063789868668,4101,2.685891039712632,0.8328344309186456
75,1,5,cluster,False,0.0,0.06710526315789474,760,51,4381,0,0.0,0.9215686274509803,0.04911180773249739,0.09325396825396827,37,51,0.411278792967037,2163,1.9875730994152048,1035,2.9089249029901847,0.8205889066423191
400,1,5,high-degree,True,0.05,0.01088457477053042,24622,268,64260,34930,0.5435729847494554,0.8979591836734694,0.0015432640033671214,0.0030812324929971988,50,49,0.3734412834311554,17218,2.5532791710820675,24932,2.578275754746343,0.8667755991285403
50,3,5,high-degree,True,0.05,0.0828258221680877,821,68,3227,476,0.1475054229934924,0.9230769230769231,0.17307692307692307,0.291497975708502,43,78,0.42615086424891957,1215,1.7672727272727273,482,2.9674620390455533,0.7288503253796096
400,3,5,random,False,0.0,0.015411973918197985,5061,78,29433,0,0.0,0.8666666666666667,0.000455964364631195,0.0009114492042347332,20,15,0.3700335670765252,17321,2.5407364114552893,15457,2.6043556552169336,0.9394557129752319
75,3,5,cluster,True,0.05,0.05069124423963134,1519,77,5449,1044,0.19159478803450175,0.8701298701298701,0.07001044932079414,0.12959381044487425,48,77,0.4134891916286601,2187,1.9736467236467237,1079,2.90456964580657,0.7920719398054689
75,3,5,high-degree,False,0.0,0.047872340425531915,752,36,4364,0,0.0,0.9743589743589743,0.03970741901776385,0.07630522088353413,38,39,0.4036310645503102,2146,1.92,1045,2.900549954170486,0.810724106324473
50,3,5,high-degree,True,0.1,0.06439393939393939,792,51,3202,493,0.15396627108057465,0.9444444444444444,0.16346153846153846,0.2786885245901639,43,72,0.41816758633136697,1173,1.7335858585858586,473,2.966583385384135,0.7236102435977514
75,1,5,random,True,0.05,0.04730179880079947,1501,71,5398,1043,0.1932197110040756,0.875,0.06583072100313479,0.12244897959183672,57,72,0.39892155030643234,2137,1.999251497005988,1080,2.898110411263431,0.7854761022600963
100,1,5,random,True,0.05,0.03667481662591687,2454,90,8267,1947,0.23551469698802469,0.8974358974358975,0.04072134962187318,0.07790762381747357,62,78,0.3823381149976411,3270,2.2023445463812434,1907,2.8162574089754444,0.80960445143341
75,3,5,cluster,True,0.1,0.05472312703583062,1535,84,5470,1112,0.203290676416819,0.9054054054054054,0.07001044932079414,0.1299709020368574,45,74,0.41270303294095084,2140,1.9704579025110782,1076,2.90036563071298,0.7755027422303473
75,1,5,random,True,0.1,0.04169424222369292,1511,63,5424,1077,0.19856194690265486,0.8157894736842105,0.06478578892371996,0.12003872216844141,59,76,0.41488179170277667,2129,2.0255255255255253,1070,2.898598820058997,0.784476401179941
50,3,5,random,False,0.0,0.07625272331154684,459,35,2700,0,0.0,0.9107142857142857,0.12259615384615384,0.21610169491525422,35,56,0.4100464779951348,1164,1.816326530612245,477,2.9625925925925927,0.7544444444444445
400,1,5,random,False,0.0,0.013806706114398421,5070,70,29485,0,0.0,0.9230769230769231,0.00042089018273648766,0.0008413967185527977,17,13,0.3717133642311469,17373,2.531358481832909,15442,2.5991521112430047,0.9376971341360013
400,1,5,cluster,True,0.05,0.009462544096285537,24095,228,63160,33825,0.5355446485117162,0.9482758620689655,0.0019290800042089018,0.0038503272778186146,52,58,0.3801598147576214,17223,2.570941977918722,24739,2.5800664977834074,0.8675902469917669
75,3,5,random,False,0.0,0.05958549222797927,772,46,4410,0,0.0,0.9230769230769231,0.050156739811912224,0.09514370664023786,46,52,0.40221992917586796,2192,2.004288777698356,1038,2.9027210884353742,0.8201814058956917
100,3,5,random,True,0.05,0.027700831024930747,2527,70,8334,2019,0.24226061915046795,0.9066666666666666,0.03955788248981966,0.0758082497212932,56,75,0.3950689841412193,3265,2.132596685082873,1893,2.808375329973602,0.804775617950564
75,1,5,cluster,True,0.05,0.04752851711026616,1578,75,5478,1148,0.20956553486673968,0.8970588235294118,0.06374085684430512,0.11902439024390245,44,68,0.4182500728754763,2112,2.0098187311178246,1079,2.893939393939394,0.7820372398685652
75,3,5,cluster,False,0.0,0.07294429708222812,754,55,4369,0,0.0,0.9795918367346939,0.050156739811912224,0.09542743538767395,34,49,0.410139400034275,2151,1.9240972733971997,1042,2.905699244678416,0.8155184252689403
200,3,5,high-degree,True,0.05,0.017225864507006042,7779,134,22360,8331,0.3725849731663685,0.9433962264150944,0.007070135746606335,0.014035087719298246,55,53,0.3828566383846137,7878,2.3697794462693573,6993,2.6348389982110914,0.8512969588550984
150,1,5,cluster,False,0.0,0.03319977103606182,1747,58,10347,0,0.0,0.8888888888888888,0.004062976130015236,0.008088978766430737,21,18,0.4073756646698665,5602,2.3031269942565413,3673,2.6820334396443415,0.8833478302889727
75,3,5,high-degree,True,0.1,0.051600261267145654,1531,79,5372,1088,0.20253164556962025,0.9420289855072463,0.06792058516196448,0.12670565302144252,53,69,0.41028727790590763,2066,2.0359094457455114,1076,2.905621742367833,0.7943037974683544
400,1,5,random,True,0.05,0.00919831568619435,24461,225,63932,34414,0.5382906838515923,0.9454545454545454,0.00182385745852478,0.003640691731428972,54,55,0.37858880204481216,17406,2.541594152453881,24880,2.5745010323468684,0.8619627103797786
