N,Hmax,obs_count,placement,cover_enabled,accuracy,graph_f1,graph_precision,graph_recall,dummy_fraction,avg_path_length,path_diversity,total_replies,conversation_threads
50,2,5,random,False,0.049,0.169,0.848,0.094,0.0,2.982,0.773,1219,479
50,2,5,cluster,True,0.064,0.222,0.771,0.13,0.151,2.946,0.732,1193,475
50,3,5,random,False,0.064,0.219,0.897,0.125,0.0,2.964,0.761,1233,479
50,1,5,random,True,0.065,0.229,0.859,0.132,0.142,2.949,0.732,1195,483
50,1,10,high-degree,True,0.065,0.422,0.848,0.281,0.149,2.972,0.726,1233,483
50,2,5,random,True,0.069,0.212,0.785,0.123,0.188,2.938,0.715,1201,484
50,1,10,random,True,0.07,0.419,0.803,0.284,0.307,2.961,0.699,1198,478
50,1,10,cluster,True,0.071,0.357,0.847,0.226,0.149,2.95,0.73,1181,481
50,1,5,cluster,True,0.073,0.245,0.811,0.144,0.149,2.955,0.736,1202,477
50,2,5,high-degree,True,0.074,0.266,0.89,0.156,0.161,2.953,0.731,1191,486
50,3,5,high-degree,False,0.076,0.219,0.897,0.125,0.0,2.965,0.761,1199,478
50,3,5,cluster,True,0.076,0.222,0.869,0.127,0.141,2.965,0.743,1239,484
50,1,5,cluster,True,0.077,0.218,0.839,0.125,0.145,2.963,0.739,1214,481
50,1,5,cluster,False,0.078,0.212,0.893,0.12,0.0,2.967,0.77,1201,474
50,1,5,high-degree,True,0.079,0.254,0.849,0.149,0.14,2.962,0.74,1202,474
50,3,5,cluster,False,0.079,0.15,0.919,0.082,0.0,2.97,0.753,1210,475
50,3,10,cluster,True,0.08,0.383,0.872,0.245,0.158,2.962,0.736,1175,478
50,1,5,random,True,0.08,0.251,0.859,0.147,0.137,2.95,0.731,1231,480
50,3,10,random,True,0.081,0.4,0.845,0.262,0.163,2.949,0.736,1181,481
50,2,5,high-degree,True,0.082,0.266,0.903,0.156,0.149,2.934,0.725,1193,483
50,3,5,random,True,0.083,0.24,0.853,0.139,0.152,2.96,0.733,1184,482
50,3,10,cluster,True,0.083,0.397,0.87,0.257,0.15,2.96,0.742,1195,482
50,1,10,random,True,0.083,0.36,0.821,0.231,0.141,2.965,0.733,1218,485
50,2,5,random,True,0.083,0.232,0.836,0.135,0.151,2.944,0.735,1189,485
50,1,10,high-degree,True,0.084,0.432,0.857,0.288,0.146,2.962,0.731,1186,483
50,3,5,cluster,True,0.084,0.208,0.781,0.12,0.143,2.958,0.731,1191,482
50,3,10,random,True,0.084,0.399,0.857,0.26,0.154,2.956,0.726,1182,475
50,3,10,high-degree,True,0.084,0.429,0.881,0.284,0.145,2.949,0.728,1182,478
50,2,5,high-degree,False,0.084,0.212,0.893,0.12,0.0,2.978,0.772,1177,481
50,1,5,random,False,0.085,0.204,0.889,0.115,0.0,2.994,0.771,1205,477
50,3,10,high-degree,True,0.085,0.428,0.874,0.284,0.155,2.974,0.735,1209,486
50,3,5,high-degree,True,0.085,0.276,0.895,0.163,0.135,2.937,0.729,1221,483
50,1,5,high-degree,False,0.086,0.223,0.898,0.127,0.0,2.974,0.767,1168,479
50,2,10,random,False,0.087,0.344,0.841,0.216,0.0,2.966,0.762,1192,467
50,1,10,cluster,True,0.087,0.399,0.864,0.26,0.145,2.936,0.732,1193,482
50,3,5,high-degree,True,0.09,0.259,0.887,0.151,0.167,2.935,0.718,1196,480
