N,Hmax,obs_count,placement,cover_enabled,poison_rate,accuracy,total_guesses,correct_guesses,total_messages,dummy_messages,dummy_fraction,graph_precision,graph_recall,graph_f1,estimated_nodes,estimated_edges,avg_confidence,total_replies,avg_reply_delay,conversation_threads,avg_path_length,path_diversity
75,2,5,cluster,True,0.05,0.056068601583113456,1516,85,5471,1105,0.20197404496435753,0.8961038961038961,0.07210031347962383,0.13346228239845262,44,77,0.40454639256460506,2099,1.9885057471264367,1101,2.921769329190276,0.7941875342716139
100,2,10,cluster,False,0.0,0.05783582089552239,1072,62,6278,0,0.0,0.961038961038961,0.04304828388598022,0.08240534521158129,52,77,0.39231929902902346,3254,2.144461459928535,1770,2.8184135074864605,0.8435807582032494
75,3,5,random,True,0.05,0.052597402597402594,1540,81,5591,1184,0.2117689143265963,0.8717948717948718,0.07105538140020899,0.1314009661835749,51,78,0.4090554070588341,2140,2.031851851851852,1098,2.9153997495975674,0.7862636379896262
150,3,10,cluster,True,0.05,0.028351052741296644,4797,136,14854,4592,0.3091423185673893,0.8928571428571429,0.025393600812595226,0.04938271604938271,76,112,0.37791917727606295,5652,2.341425459072518,4117,2.684866029352363,0.8360710919617611
150,1,10,high-degree,False,0.0,0.036374133949191687,1732,63,10208,0,0.0,0.9473684210526315,0.013712544438801422,0.027033792240300374,52,57,0.3912269339346762,5598,2.226235741444867,3589,2.6923001567398117,0.8816614420062696
200,3,5,random,False,0.0,0.02981366459627329,2415,72,14053,0,0.0,1.0,0.0021210407239819003,0.004233102864399604,17,15,0.3767273934612631,7768,2.3473456641844823,5702,2.634811072368889,0.8987404824592614
300,3,5,cluster,True,0.1,0.012444387130053518,15509,193,41720,19692,0.4720038350910834,0.9375,0.0028056612008229937,0.005594579474109529,46,48,0.36371884143309446,12587,2.4835834896810507,14809,2.586241610738255,0.860450623202301
400,2,5,random,True,0.1,0.008452562569579021,24253,205,63482,34194,0.5386408745786208,0.8717948717948718,0.0011925221844200484,0.002381786339754816,41,39,0.3529086222335482,17026,2.5730847376598542,24791,2.579959673608267,0.8668126398034088
50,2,5,cluster,True,0.1,0.06418485237483953,779,50,3114,470,0.15093127809890816,0.7714285714285715,0.12980769230769232,0.22222222222222227,39,70,0.41599052616647647,1193,1.7269372693726937,475,2.9460500963391136,0.7324983943481054
50,2,10,cluster,False,0.0,0.09615384615384616,468,45,2681,0,0.0,0.8571428571428571,0.20192307692307693,0.32684824902723736,41,98,0.40689978338580124,1230,1.7885985748218527,480,2.9563595673256247,0.75307720999627
400,3,10,cluster,True,0.05,0.009009009009009009,24642,222,64185,34838,0.5427747916179793,0.8962962962962963,0.004243976009259584,0.008447950848285974,97,135,0.3747697527993689,17085,2.572584483579248,24883,2.581272883072369,0.8659032484225286
200,3,5,high-degree,True,0.1,0.018571428571428572,7700,143,22349,8249,0.3690992885587722,0.9344262295081968,0.008059954751131223,0.015982055236225996,56,61,0.38815475600367483,7815,2.376846117198666,7051,2.6290661774576045,0.8510447894760392
300,1,10,random,True,0.1,0.010407180954858852,15374,160,41574,19370,0.4659161976235147,0.9024390243902439,0.009227507949373402,0.018268221934209714,138,164,0.37276467406327063,12763,2.5088447931087523,14690,2.5848366767691346,0.8594554288738153
400,2,10,cluster,True,0.1,0.00888215714873406,53478,475,176199,146718,0.8326834999063559,0.8306772908366534,0.029251867700185893,0.05651363713366086,367,1004,0.4250610337338191,17219,2.5535064019734524,29762,2.56769334672728,0.7032389514128911
300,2,10,cluster,True,0.05,0.012791079042308954,15245,195,41534,19316,0.4650647662156306,0.9236641221374046,0.007544111228879606,0.014965986394557823,92,131,0.37081337507865864,12777,2.52007299270073,14813,2.5838830837386237,0.8588866952376366
400,1,5,high-degree,True,0.05,0.010702177198643846,24481,262,63966,34534,0.5398805615483225,0.9056603773584906,0.0016835607309459506,0.0033608738271950706,57,53,0.36456850569306026,17170,2.575621831899092,24816,2.579057624362943,0.8649595097395492
400,3,5,cluster,True,0.05,0.010516370209095016,24343,256,63462,34076,0.5369512464151776,0.8913043478260869,0.0014380414576829995,0.0028714500822915575,44,46,0.3782992001346963,17124,2.530129039895821,24733,2.5793545743909743,0.8648797705713656
300,2,5,random,True,0.05,0.011407591949124763,15253,174,41226,19169,0.4649735603745209,0.9384615384615385,0.0038032296277822806,0.007575757575757576,60,65,0.3753050386325989,12616,2.4742332243499923,14698,2.588026973269296,0.8621500994518022
150,1,5,cluster,False,0.0,0.0453224869262057,1721,78,10145,0,0.0,0.9565217391304348,0.00558659217877095,0.01110830598333754,22,23,0.3804379919482022,5535,2.2827855515782622,3669,2.7012321340561853,0.8883193691473632
50,3,10,high-degree,False,0.0,0.09698275862068965,464,45,2663,0,0.0,0.9017857142857143,0.24278846153846154,0.38257575757575757,48,112,0.4299425986864022,1212,1.8380024360535931,477,2.9778445362373263,0.7713105520090124
200,2,10,cluster,True,0.05,0.018111753371868978,7785,141,22568,8474,0.37548741580999645,0.9078014184397163,0.01809954751131222,0.03549147372799113,87,141,0.3805052568141822,7809,2.3598074608904933,6970,2.6230946472881955,0.8478819567529245
200,2,5,random,True,0.05,0.019385699899295065,7944,154,22876,8790,0.3842454974645917,0.9180327868852459,0.007918552036199095,0.015701668302257114,55,61,0.36988990055531923,7801,2.34242277992278,6995,2.6245410036719705,0.8424112607099143
50,2,5,cluster,True,0.05,0.09746835443037975,790,77,3118,477,0.15298268120590122,0.9206349206349206,0.13942307692307693,0.24217118997912315,40,63,0.4309872736374943,1190,1.6658536585365853,477,2.9416292495189222,0.7338037203335471
300,1,5,cluster,True,0.05,0.011400329489291598,15175,173,40878,18844,0.4609814570184451,0.9444444444444444,0.0031797493609327264,0.0063381594482072945,52,54,0.3618614902971618,12593,2.5092331768388108,14718,2.5895102500122316,0.8646460198639855
150,2,10,cluster,False,0.0,0.03159103963239517,1741,55,10229,0,0.0,0.9622641509433962,0.012950736414423566,0.02555750438486595,45,53,0.3877960109825391,5619,2.2822144447979635,3606,2.693713950532799,0.8821976732818457
300,2,10,high-degree,True,0.1,0.010678267747676488,15171,162,41135,19002,0.46194238483043637,0.8791208791208791,0.004987842134796434,0.009919404835709859,88,91,0.35144978297672613,12692,2.454222633935464,14664,2.5841983712167256,0.8601191199708278
