N,Hmax,obs_count,placement,cover_enabled,poison_rate,accuracy,total_guesses,correct_guesses,total_messages,dummy_messages,dummy_fraction,graph_precision,graph_recall,graph_f1,estimated_nodes,estimated_edges,avg_confidence,total_replies,avg_reply_delay,conversation_threads,avg_path_length,path_diversity
300,2,10,random,True,0.1,0.012248640859369882,15267,187,40928,19040,0.4652071931196247,0.9647058823529412,0.005112538188166344,0.010171173406102702,84,85,0.35249172545449753,12824,2.5022789425706473,14565,2.580629397967162,0.858409890539484
150,2,10,cluster,True,0.1,0.023903554354604034,4811,115,14931,4633,0.31029401915477867,0.8920863309352518,0.03148806500761808,0.0608290409614913,86,139,0.38313785543291906,5642,2.300472440944882,4025,2.6797937177684013,0.8307548054383498
150,2,10,high-degree,False,0.0,0.029164329781267526,1783,52,10361,0,0.0,0.9473684210526315,0.013712544438801422,0.027033792240300374,52,57,0.38478728635893555,5705,2.3481756338899196,3598,2.6880609979731687,0.881671653315317
200,2,10,cluster,True,0.1,0.021298434693353862,7794,166,22155,8331,0.37603249830737984,0.9230769230769231,0.016968325791855202,0.03332407664537628,84,130,0.36958671837012297,7828,2.3944062574069687,6901,2.61647483638005,0.8482960956894606
400,1,5,high-degree,False,0.0,0.015743324033479472,5018,79,29329,0,0.0,1.0,0.0003156676370523658,0.0006311360448807854,14,9,0.32972388864816815,17135,2.5735259294340516,15356,2.593098980531215,0.9367520201848001
75,1,5,high-degree,True,0.1,0.036,1500,54,5631,1085,0.19268335997158587,0.9605263157894737,0.07628004179728318,0.14133591481122945,60,76,0.40957875649204,2148,2.0438988095238093,1059,2.9316284851713728,0.7908009234594211
150,3,10,random,False,0.0,0.03626943005181347,1737,63,10260,0,0.0,1.0,0.009903504316912138,0.0196127734473221,44,39,0.40367880491635694,5604,2.2700063011972276,3565,2.687524366471735,0.8800194931773879
100,1,5,cluster,True,0.05,0.029747351263243682,2454,73,8283,2038,0.24604611855607872,0.9125,0.04246655031995346,0.08115619788771539,49,80,0.39540897465738273,3229,2.1943298969072167,1849,2.8166123385246893,0.8119038995533019
300,1,5,random,True,0.05,0.011104617182933957,15399,171,41345,19535,0.47248760430523645,0.9397590361445783,0.004863146081426523,0.009676218831410496,80,83,0.3814743779288737,12746,2.4847385917195526,14603,2.581642278389164,0.8565001814004112
300,3,5,random,True,0.1,0.013823974721874794,15191,210,40929,19212,0.46939822619658433,0.9090909090909091,0.0037408816010973253,0.007451102142191866,66,66,0.3714425950446165,12653,2.4996879875195006,14646,2.5848909086466807,0.8613208238657187
200,3,5,cluster,True,0.05,0.019173468065811633,7719,148,22161,8255,0.3725012409187311,0.9107142857142857,0.007211538461538462,0.01430976430976431,46,56,0.3685043124873903,7910,2.4149436090225564,6837,2.6152700690402058,0.8433734939759037
150,3,5,cluster,True,0.05,0.023057748234316576,4814,111,15026,4644,0.30906428856648477,0.9493670886075949,0.01904520060944642,0.037341299477221805,62,79,0.37569856179852307,5726,2.2690402476780185,4066,2.6706375615599627,0.8305603620391322
75,3,10,high-degree,True,0.05,0.05016077170418006,1555,78,5731,1111,0.19385796545105566,0.8944099378881988,0.15047021943573669,0.25760286225402507,67,161,0.4070949292038688,2222,2.036723163841808,1064,2.929680683999302,0.7909614377944513
150,1,5,high-degree,False,0.0,0.03901319563970167,1743,68,10310,0,0.0,0.9047619047619048,0.004824784154393093,0.00959838343015913,25,21,0.39281047336465413,5654,2.294648413192284,3587,2.6851600387972843,0.8837051406401552
300,1,10,high-degree,True,0.1,0.012351326623970723,15302,189,41496,19574,0.4717081164449585,0.9813084112149533,0.006546542801920319,0.01300631735414344,96,107,0.37067184247871204,12858,2.4766143633071818,14711,2.579790823211876,0.858468286099865
400,1,5,random,False,0.0,0.014863258026159334,5046,75,29460,0,0.0,1.0,0.0004910385465259023,0.0009815950920245397,18,14,0.3604584333865288,17266,2.5582858499525165,15453,2.5980991174473864,0.937949762389681
300,2,10,random,True,0.05,0.011990095138798383,15346,184,41149,19327,0.46968334588932903,0.8974358974358975,0.006546542801920319,0.012998266897746967,100,117,0.3684839743714882,12758,2.4773390689814105,14604,2.582322778196311,0.8613575056501981
75,3,10,random,True,0.1,0.04943679599499374,1598,79,5807,1184,0.20389185465817117,0.9178082191780822,0.1400208986415883,0.24297370806890303,71,146,0.40021626617658873,2225,2.016185784658691,1056,2.923023936628207,0.7825038746340623
150,2,5,high-degree,True,0.1,0.025382840360813928,4767,121,14777,4589,0.3105501793327468,0.9090909090909091,0.015236160487557136,0.02997002997002997,63,66,0.3911642490591142,5532,2.2499189627228526,4034,2.670907491371726,0.8302091087500846
400,1,10,high-degree,True,0.05,0.009802715229071819,24381,239,64080,34603,0.5399968789013733,0.9418604651162791,0.002841008733471292,0.005664929887750463,86,86,0.3672891212920628,17283,2.542037470725995,24688,2.5769818976279653,0.8666510611735331
300,1,5,random,False,0.0,0.015537101526922047,3733,58,21751,0,0.0,0.8888888888888888,0.0004987842134796434,0.0009970089730807579,13,9,0.35194754192504984,12687,2.4559753276792597,10320,2.5967541722219667,0.9239575191945197
300,1,10,high-degree,False,0.0,0.022921108742004266,3752,86,21736,0,0.0,1.0,0.0019327888272336181,0.0038581207218419417,37,31,0.3354857061489065,12672,2.5079956528489364,10394,2.5960158262789843,0.9244571218255428
50,2,5,high-degree,True,0.1,0.06951219512195123,820,57,3216,503,0.15640547263681592,0.9428571428571428,0.15865384615384615,0.271604938271605,43,70,0.4302583549802284,1171,1.8611111111111112,473,2.9766791044776117,0.7459577114427861
75,2,5,cluster,False,0.0,0.059782608695652176,736,44,4565,0,0.0,1.0,0.051201671891327065,0.09741550695825049,40,49,0.41119665182437515,2167,1.9474074074074075,1036,2.926396495071194,0.8186199342825848
400,2,5,high-degree,True,0.05,0.010462645087461173,24468,256,64267,34841,0.5421289308665411,0.918918918918919,0.0011925221844200484,0.0023819532016253328,40,37,0.359345006869833,17232,2.5540666511302725,24591,2.5726578181648434,0.8609083977780199
75,1,10,high-degree,True,0.05,0.056714471968709254,1534,87,5700,1102,0.19333333333333333,0.9298245614035088,0.16614420062695925,0.28191489361702127,73,171,0.41631048502214085,2200,2.079172610556348,1061,2.9326315789473685,0.7845614035087719
75,1,5,high-degree,False,0.0,0.05434782608695652,736,40,4530,0,0.0,0.9787234042553191,0.04806687565308255,0.09163346613545817,45,47,0.39734928064397956,2132,1.9654913728432108,1029,2.9275938189845476,0.806401766004415
150,2,10,random,True,0.1,0.02594142259414226,4780,124,14950,4652,0.3111705685618729,0.8957055214723927,0.03707465718638903,0.07120214581809316,117,163,0.38195732372108154,5642,2.250157331655129,4047,2.66066889632107,0.825819397993311
50,1,10,cluster,True,0.05,0.0853960396039604,808,69,3208,484,0.15087281795511223,0.8907563025210085,0.2548076923076923,0.3962616822429906,47,119,0.4217253109892594,1182,1.8113207547169812,470,2.9650872817955114,0.7312967581047382
150,1,5,random,True,0.05,0.02531385058654044,4859,123,14930,4773,0.31969189551239113,0.9166666666666666,0.013966480446927373,0.027513756878439218,52,60,0.3870636875473244,5501,2.2425919895799415,4059,2.6756195579370394,0.8279973208305426
300,1,10,cluster,False,0.0,0.022352315061202766,3758,84,21823,0,0.0,0.9142857142857143,0.0019951368539185737,0.003981585168595247,41,35,0.3308264021524612,12759,2.4857447781674034,10327,2.59249415754021,0.9247124593318975
50,2,10,high-degree,True,0.1,0.06472081218274112,788,51,3181,458,0.14397988054071048,0.8920863309352518,0.2980769230769231,0.4468468468468468,49,139,0.4332551978630222,1181,1.7769423558897244,467,2.9629047469349263,0.7459918264696637
200,1,5,random,True,0.05,0.01932367149758454,7866,152,22390,8560,0.38231353282715497,0.9433962264150944,0.007070135746606335,0.014035087719298246,55,53,0.3746675789676245,7834,2.383804504072832,6940,2.620276909334524,0.8452880750334971
150,2,10,random,False,0.0,0.036260623229461754,1765,64,10254,0,0.0,0.9642857142857143,0.013712544438801422,0.027040560841261895,56,56,0.3759844422278368,5598,2.3012738853503185,3617,2.6906573044665496,0.8831675443729277
100,1,10,cluster,True,0.05,0.03705228489090161,2429,90,8171,1905,0.23314159833557704,0.9130434782608695,0.07329842931937172,0.13570274636510501,72,138,0.3980141961429114,3250,2.2248062015503876,1849,2.8149553298249907,0.8110390405091176
50,1,5,cluster,True,0.1,0.07126436781609195,870,62,3295,587,0.17814871016691958,0.8533333333333334,0.15384615384615385,0.26069246435845217,40,75,0.43865530962769195,1166,1.901015228426396,473,2.9569044006069802,0.728072837632777
300,3,10,high-degree,True,0.1,0.012974312165862563,15338,199,41101,19421,0.47251891681467606,0.9682539682539683,0.007606459255564561,0.01509433962264151,110,126,0.3689365368487253,12616,2.520401854714065,14579,2.5813483856840467,0.8577406875745116
50,1,10,cluster,False,0.0,0.10222222222222223,450,46,2680,0,0.0,0.956989247311828,0.21394230769230768,0.34970530451866405,44,93,0.4232815443885605,1138,1.7290836653386454,463,2.9470149253731344,0.7514925373134328
200,2,10,random,True,0.1,0.01959370116600553,8319,163,23668,9744,0.41169511576812573,0.8986486486486487,0.01880656108597285,0.03684210526315789,117,148,0.377554081857904,7928,2.3961069418386494,7012,2.618345445327024,0.8376288659793815
50,3,5,cluster,False,0.0,0.11479028697571744,453,52,2703,0,0.0,0.8541666666666666,0.0985576923076923,0.1767241379310345,29,48,0.41974626516006763,1161,1.7615979381443299,468,2.960044395116537,0.7554568997410285
75,1,10,high-degree,True,0.1,0.045816733067729085,1506,69,5604,1062,0.18950749464668093,0.9487179487179487,0.15464994775339602,0.265947888589398,72,156,0.40539882830654816,2144,2.0,1057,2.910956459671663,0.7889007851534618
150,3,5,high-degree,True,0.1,0.027010435850214856,4887,132,15147,4879,0.3221099887766554,0.958904109589041,0.017775520568816656,0.03490401396160558,63,73,0.3854514077569399,5612,2.2445209768315593,4126,2.678880306331287,0.8332343038225392
400,3,10,cluster,True,0.1,0.009215280315024561,24633,227,64223,34755,0.541161266213039,0.9666666666666667,0.004068605099786048,0.008103105026020747,96,120,0.37734810687851866,17274,2.5552301745343797,24812,2.5736107002164332,0.86388054123912
400,1,5,cluster,False,0.0,0.013043478260869565,5060,66,29367,0,0.0,1.0,0.00021044509136824383,0.0004208016270996248,10,6,0.3244888064411289,17173,2.562492595664021,15414,2.5984268055981206,0.939694214594613
200,1,5,random,False,0.0,0.02300292764533668,2391,55,13774,0,0.0,1.0,0.0021210407239819003,0.004233102864399604,19,15,0.3526053131355346,7778,2.348086124401914,5639,2.6307535937273125,0.9024248584289241
200,1,5,high-degree,True,0.05,0.018016866854076156,7826,141,22308,8446,0.3786085709162632,0.9464285714285714,0.007494343891402715,0.014870931537598204,55,56,0.3861010298396148,7866,2.360503802281369,6900,2.61681907835754,0.846602115832885
100,1,10,high-degree,False,0.0,0.05353901996370236,1102,59,6267,0,0.0,0.9518072289156626,0.04595695171611402,0.0876803551609323,63,83,0.3822806353634758,3251,2.181679389312977,1761,2.8120312749321843,0.8445827349609063
400,2,10,high-degree,True,0.05,0.010094817721105117,24468,247,64056,34722,0.5420569501686024,0.9347826086956522,0.0030163796429448285,0.006013355242457085,93,92,0.35934313482857744,17140,2.5186324381876255,24727,2.574981266391907,0.8643530660671912
75,3,10,random,True,0.05,0.06335728282168518,1531,97,5640,1114,0.1975177304964539,0.9496402877697842,0.13793103448275862,0.2408759124087591,68,139,0.4149777813787218,2128,2.0194319880418536,1055,2.927659574468085,0.7890070921985816
75,1,10,random,False,0.0,0.07066666666666667,750,53,4566,0,0.0,0.975,0.08150470219435736,0.15043394406943103,57,80,0.4158906745907941,2168,2.038657913931437,1024,2.929478756022777,0.812089356110381
400,2,5,cluster,True,0.05,0.009340051616074721,24411,228,63507,34215,0.5387595068260191,0.9714285714285714,0.0023850443688400967,0.004758405934012106,61,70,0.34854910849463283,17098,2.5865868263473053,24631,2.574235911001937,0.862739540523092
50,3,5,cluster,True,0.1,0.07712082262210797,778,60,3157,465,0.14729173265758633,0.9242424242424242,0.1466346153846154,0.2531120331950208,36,66,0.4262004701470487,1150,1.8617571059431524,468,2.982895153626861,0.7412100095026924
150,2,5,high-degree,True,0.05,0.02822085889570552,4890,138,15036,4809,0.3198324022346369,0.9027777777777778,0.016505840528186898,0.032418952618453865,64,72,0.3960352530703267,5571,2.25200900032144,4077,2.669925512104283,0.8308725724926842
300,1,5,high-degree,False,0.0,0.01695364238410596,3775,64,21885,0,0.0,0.8571428571428571,0.0003740881601097325,0.0007478499314470896,10,7,0.36115095322081886,12821,2.5061143381228983,10476,2.596390221612977,0.9260680831619831
75,2,10,cluster,True,0.05,0.058900523560209424,1528,90,5629,1092,0.19399538106235567,0.9172413793103448,0.13897596656217345,0.24137931034482757,65,145,0.4096591465547844,2139,2.0275707898658717,1047,2.917214425297566,0.7837981879552318
50,2,5,high-degree,False,0.0,0.08149779735682819,454,37,2669,0,0.0,0.9655172413793104,0.1346153846153846,0.2362869198312236,41,58,0.42153558437009575,1127,1.7633689839572193,465,2.951292618958411,0.7530910453353316
