N,Hmax,obs_count,placement,cover_enabled,poison_rate,accuracy,total_guesses,correct_guesses,total_messages,dummy_messages,dummy_fraction,graph_precision,graph_recall,graph_f1,estimated_nodes,estimated_edges,avg_confidence,total_replies,avg_reply_delay,conversation_threads,avg_path_length,path_diversity,seed
200,3,5,high-degree,True,0.1,0.01440741668754698,7982,115,22590,8744,0.3870739265161576,0.9090909090909091,0.007070135746606335,0.014031149151115476,52,55,0.38987678313778223,7707,2.411592791037506,7034,2.6154493138556885,0.8415670650730411,1
100,1,5,cluster,True,0.05,0.037914691943127965,2532,96,8258,2066,0.25018164204407844,0.9333333333333333,0.04072134962187318,0.07803790412486064,54,75,0.39263845112040247,3229,2.1925658234383065,1933,2.8055219181399855,0.8081860014531363,1
150,3,5,random,True,0.05,0.023713741266144398,4723,112,14540,4415,0.30364511691884455,0.8688524590163934,0.01345860843067547,0.026506626656664166,59,61,0.3824083066185145,5541,2.3071661237785017,4139,2.6896148555708392,0.8356258596973866,1
75,1,5,random,True,0.1,0.06416072585871678,1543,99,5553,1132,0.20385377273545832,0.8372093023255814,0.07523510971786834,0.13806327900287632,61,86,0.39858732680897324,2173,2.0291757840991975,1088,2.9227444624527283,0.7831802629209437,1
400,1,5,random,True,0.05,0.00940815649867374,24128,227,62845,33737,0.5368287055453894,0.9473684210526315,0.0018940058223141944,0.003780453654438532,58,57,0.3731308803389552,17161,2.5379302131713706,24855,2.578407192298512,0.866337815259766,1
50,1,5,high-degree,True,0.05,0.07721518987341772,790,61,3201,459,0.14339268978444236,0.8947368421052632,0.16346153846153846,0.2764227642276423,44,76,0.4317125596094412,1214,1.9015795868772782,477,2.9584504842236803,0.7363323961262106,1
200,3,5,random,True,0.05,0.01985981308411215,7704,153,22249,8262,0.3713425322486404,0.7903225806451613,0.006928733031674208,0.013737033922063357,62,62,0.368252450927675,7848,2.403613025909199,7015,2.6187244370533507,0.8481280057530676,1
100,1,5,high-degree,True,0.1,0.024336283185840708,6328,154,15131,8927,0.5899808340493028,0.8588235294117647,0.08493310063990692,0.15457914240338802,86,170,0.45615929855882775,3241,2.1231400718317084,1976,2.8058951820765317,0.6928821624479545,1
300,1,5,cluster,False,0.0,0.020391735980681513,3727,76,21812,0,0.0,0.9333333333333333,0.0008728723735893759,0.0017441136165441636,20,15,0.3305970725058231,12658,2.5425764192139737,10578,2.605171465248487,0.9286631212176784,1
200,1,5,high-degree,True,0.05,0.015318066157760815,19650,301,50427,36384,0.7215182342792552,0.8426229508196721,0.036340497737556564,0.06967602006235597,174,305,0.43790151364466684,7904,2.4073280989769215,7666,2.6064409939119915,0.7036904832728499,1
100,3,5,random,True,0.05,0.030206677265500796,2516,76,8273,2099,0.2537169104315242,0.84,0.03664921465968586,0.07023411371237458,61,75,0.3885392495092905,3211,2.1360332294911735,1916,2.808533784600508,0.8072041581046778,1
400,1,5,cluster,False,0.0,0.014302741358760428,5034,72,29058,0,0.0,0.875,0.00024551927326295114,0.0004909008029734562,13,8,0.36166209221809686,17111,2.533499940497441,15363,2.6053754559845825,0.9400509326175236,1
75,3,5,cluster,True,0.1,0.056998100063331225,1579,90,5574,1158,0.2077502691065662,0.8591549295774648,0.06374085684430512,0.11867704280155643,40,71,0.4183412836298323,2168,2.063134978229318,1096,2.932005740940079,0.7913527090060998,1
100,3,5,cluster,False,0.0,0.05023255813953489,1075,54,6208,0,0.0,0.9428571428571428,0.019197207678883072,0.037628278221208664,29,35,0.3946654521735142,3245,2.0847022587268995,1811,2.8284471649484537,0.8516430412371134,1
75,1,5,random,True,0.05,0.04668769716088328,1585,74,5590,1124,0.20107334525939177,0.8666666666666667,0.06792058516196448,0.12596899224806202,56,75,0.40472964366703185,2218,2.0092198581560283,1105,2.9450805008944543,0.7957066189624329,1
100,1,5,random,True,0.05,0.0358148893360161,2485,89,8190,2016,0.24615384615384617,0.873015873015873,0.031995346131471786,0.06172839506172839,46,63,0.39259018891527303,3211,2.1459205020920504,1930,2.8272283272283274,0.8158730158730159,1
300,1,5,high-degree,True,0.1,0.01284796573875803,15411,198,41526,19480,0.4691036940711843,0.8913043478260869,0.002556269094083172,0.0050979173142679515,48,46,0.36267061183229005,12892,2.524924924924925,14910,2.5895583489861775,0.8632423060251408,1
200,1,5,cluster,True,0.05,0.01641907740422205,7674,126,22230,8278,0.3723796671165092,0.9333333333333333,0.007918552036199095,0.015703869882220976,54,60,0.37787067776724353,7813,2.343311950582086,7015,2.6128654970760232,0.8449842555105713,1
150,1,5,cluster,True,0.05,0.02819548872180451,4788,135,14654,4581,0.31261089122423913,0.85,0.012950736414423566,0.025512756378189096,48,60,0.3697926288515723,5489,2.3014993481095174,4100,2.6912788317183023,0.8337655247713934,1
100,3,5,high-degree,True,0.05,0.028041237113402062,2425,68,8208,2014,0.24537037037037038,0.9183673469387755,0.05235602094240838,0.09906439185470556,71,98,0.39766095591042544,3231,2.0741316744427163,1921,2.8218810916179335,0.8128654970760234,1
150,3,5,random,True,0.1,0.030915086562242376,4852,150,14869,4632,0.31152061335664805,0.8974358974358975,0.017775520568816656,0.0348605577689243,59,78,0.37549638992540946,5653,2.293824079850281,4127,2.690362499159325,0.8335463043916874,1
75,3,5,high-degree,False,0.0,0.05976095617529881,753,45,4410,0,0.0,0.9629629629629629,0.054336468129571575,0.10286844708209693,45,54,0.405163736787254,2162,2.036029411764706,1047,2.922902494331066,0.8170068027210884,1
150,1,5,random,True,0.05,0.0234375,4864,114,14883,4661,0.3131761069676812,0.9367088607594937,0.018791264601320468,0.03684341548419218,65,79,0.38549882669288993,5638,2.338471217363951,4119,2.6894443324598534,0.8302089632466573,1
400,3,5,high-degree,True,0.05,0.009406062597551959,24346,229,63385,34177,0.5391969708921669,0.8484848484848485,0.0009820770930518046,0.001961883408071749,37,33,0.37357746466340064,17261,2.5416323165704866,24810,2.5802003628618757,0.8658515421629723,1
75,3,5,random,False,0.0,0.05754475703324808,782,45,4424,0,0.0,0.9333333333333333,0.0438871473354232,0.08383233532934131,38,45,0.4001944723300831,2176,2.078102189781022,1064,2.918851717902351,0.8223327305605787,1
200,1,5,cluster,False,0.0,0.02566259991586033,2377,61,13950,0,0.0,0.8666666666666667,0.001838235294117647,0.003668689149146324,18,15,0.35159527574227206,7811,2.3750601829561866,5779,2.6387813620071685,0.9045878136200717,1
200,1,5,random,True,0.05,0.01603592046183451,7795,125,22462,8381,0.3731190454990651,0.8913043478260869,0.005797511312217195,0.011520089912896882,49,46,0.3748932814729922,7942,2.4311152764761013,7037,2.61748731190455,0.8481880509304603,1
400,3,5,random,True,0.05,0.007994752162682956,24391,195,63089,34050,0.5397137377355798,0.8611111111111112,0.002174599277471853,0.00433824301158031,70,72,0.37569113034713975,17092,2.522331024599952,24706,2.5790074339425257,0.8655867108370714,1
300,1,5,cluster,True,0.05,0.012474288368389623,15071,188,40800,18879,0.4627205882352941,0.8653846153846154,0.0028056612008229937,0.005593188739046671,51,52,0.3612537101674294,12767,2.5319312250537305,14725,2.5875,0.8634558823529411,1
50,3,5,high-degree,False,0.0,0.09829059829059829,468,46,2717,0,0.0,0.9076923076923077,0.14182692307692307,0.24532224532224534,43,65,0.4194160223935537,1189,1.7347447073474471,474,2.972027972027972,0.7545086492454913,1
50,3,5,random,False,0.0,0.07526881720430108,465,35,2700,0,0.0,0.8679245283018868,0.11057692307692307,0.19616204690831554,39,53,0.4168068202845147,1172,1.7888748419721872,471,2.9633333333333334,0.7581481481481481,1
200,1,5,high-degree,False,0.0,0.024532224532224534,2405,59,13993,0,0.0,1.0,0.0019796380090497737,0.003951453570420547,19,14,0.38297062040949076,7854,2.3806236610330873,5766,2.637890373758308,0.9006646180232973,1
150,1,5,high-degree,False,0.0,0.0340522133938706,1762,60,10244,0,0.0,0.9545454545454546,0.005332656170644997,0.010606060606060605,26,22,0.38815193075130155,5660,2.3351164254247956,3648,2.7128074970714566,0.8821749316673174,1
400,1,5,random,False,0.0,0.017180094786729858,5064,87,29185,0,0.0,1.0,0.00038581600084178035,0.0007713344085267512,15,11,0.33648775920459867,17238,2.589728453364817,15466,2.605893438410142,0.9401062189480898,1
100,3,5,high-degree,False,0.0,0.04990583804143126,1062,53,6179,0,0.0,1.0,0.02385107620709715,0.04659090909090909,36,41,0.3838567571594696,3216,2.1382368283776736,1802,2.824243405081728,0.8496520472568376,1
50,3,5,cluster,False,0.0,0.09414225941422594,478,45,2721,0,0.0,0.847457627118644,0.1201923076923077,0.2105263157894737,34,59,0.4074943736816823,1193,1.9444444444444444,475,2.9555310547592795,0.7493568540977582,1
400,3,5,cluster,False,0.0,0.015369261477045908,5010,77,29007,0,0.0,0.9230769230769231,0.00042089018273648766,0.0008413967185527977,17,13,0.34446537839661473,17060,2.570263788968825,15414,2.5989933464336197,0.9380149619057468,1
200,3,5,random,True,0.1,0.016260162601626018,7995,130,22834,8697,0.38087939038276253,0.8333333333333334,0.009191176470588236,0.018181818181818184,69,78,0.37904025968537136,7998,2.3872007366482504,7058,2.6139966716300256,0.8408513620040291,1
300,3,5,cluster,False,0.0,0.021785334750265676,3764,82,21897,0,0.0,0.9333333333333333,0.0008728723735893759,0.0017441136165441636,20,15,0.348521882400105,12743,2.5239193970158436,10461,2.6041923551171395,0.9251038955108005,1
300,3,5,random,True,0.1,0.012745162781483193,15143,193,41000,19076,0.46526829268292685,0.9298245614035088,0.0033044454143026374,0.006585487077534791,59,57,0.35337071196851655,12770,2.5185128983308043,14637,2.591048780487805,0.864,1
75,1,5,high-degree,True,0.1,0.03789338471419396,1557,59,5515,1090,0.19764279238440616,0.9333333333333333,0.0877742946708464,0.16045845272206302,60,90,0.4127002391713528,2177,2.0253439536567703,1094,2.9341795104261106,0.8045330915684497,1
50,1,5,random,True,0.05,0.09217171717171717,792,73,3177,489,0.153918791312559,0.7878787878787878,0.125,0.2157676348547718,44,66,0.4265271994042841,1160,1.8452685421994885,474,2.9625432798237332,0.7393767705382436,1
300,3,5,random,False,0.0,0.018473895582329317,3735,69,21831,0,0.0,0.9444444444444444,0.0010599164536442421,0.0021174565610014326,23,18,0.37286550207050895,12677,2.5051483018288,10494,2.602720901470386,0.9257477898401356,1
100,3,5,random,True,0.1,0.03676767676767677,2475,91,8201,2019,0.24618948908669674,0.8918918918918919,0.038394415357766144,0.0736196319018405,55,74,0.3926033467778149,3219,2.2675026123301985,1916,2.815754176319961,0.807096695524936,1
300,1,5,random,True,0.05,0.011189363522674916,15193,170,41071,19093,0.4648778943780283,0.9038461538461539,0.0029303572541929048,0.005841774905226524,54,52,0.3794289206640208,12824,2.5405117270788913,14730,2.5896618051666627,0.8635533588176573,1
50,1,5,random,False,0.0,0.0734341252699784,463,34,2716,0,0.0,0.8846153846153846,0.11057692307692307,0.19658119658119658,36,52,0.4097643977392398,1188,1.7342398022249692,467,2.949558173784978,0.7573637702503682,1
100,3,5,cluster,True,0.05,0.04116920543433512,2429,100,8164,1977,0.2421607055365017,0.8461538461538461,0.038394415357766144,0.07345575959933222,56,78,0.40287091819577353,3224,2.1144045761830474,1906,2.8210436060754533,0.8136942675159236,1
75,1,5,random,False,0.0,0.06597671410090557,773,51,4435,0,0.0,0.9433962264150944,0.0522466039707419,0.09900990099009901,39,53,0.41546294602229633,2187,2.1128914785142023,1067,2.9158962795941377,0.8218714768883878,1
150,3,5,high-degree,True,0.1,0.02423603793466807,4745,115,14720,4502,0.3058423913043478,0.8904109589041096,0.016505840528186898,0.032410870107205184,64,73,0.38250830000253777,5634,2.318441064638783,4094,2.6911005434782607,0.8347146739130434,1
400,3,5,random,True,0.1,0.009320388349514564,25750,240,69861,40742,0.583186613418073,0.8875,0.0024902669145242186,0.00496659788045189,79,80,0.3884151926448551,17172,2.4927261975162627,26014,2.578076466125592,0.8579178654757303,1
75,3,5,random,True,0.1,0.053536021150033045,1513,81,5519,1104,0.20003623844899437,0.875,0.06583072100313479,0.12244897959183672,47,72,0.40509884581341477,2167,2.0169242089771893,1093,2.9345895995651388,0.7918101105272695,1
50,1,5,high-degree,True,0.1,0.07672301690507152,769,59,3164,452,0.14285714285714285,0.9066666666666666,0.16346153846153846,0.2769857433808554,42,75,0.42806410951303214,1184,1.7674129353233832,478,2.972187104930468,0.738621997471555,1
400,3,5,high-degree,True,0.1,0.010443864229765013,24129,252,63005,33747,0.5356241568129514,0.8421052631578947,0.0011223738206306338,0.0022417597814284214,43,38,0.37049089781995187,17311,2.5474349964862966,24638,2.5813189429410364,0.8667248631061026,1
300,3,5,high-degree,False,0.0,0.01674641148325359,3762,63,21953,0,0.0,1.0,0.0008105243469044205,0.0016197358584600053,17,13,0.3256384782191923,12799,2.512492288710672,10623,2.606523026465631,0.9273903338951396,1
50,1,5,high-degree,False,0.0,0.09956709956709957,462,46,2715,0,0.0,0.9206349206349206,0.13942307692307693,0.24217118997912315,42,63,0.41448393707724757,1187,1.84019975031211,478,2.9679558011049725,0.7602209944751381,1
300,3,5,cluster,True,0.05,0.010717283233262315,15489,166,41443,19552,0.4717805178196559,0.8787878787878788,0.0036161855477274143,0.007202732070785469,55,66,0.37421415203025343,12737,2.5012360939431395,14774,2.587795285090365,0.8591076900803514,1
200,3,5,cluster,False,0.0,0.029987505206164097,2401,72,13964,0,0.0,0.9583333333333334,0.003252262443438914,0.006482525366403608,23,24,0.36505032992556924,7825,2.3404761904761906,5739,2.635777714122028,0.9006731595531366,1
150,1,5,high-degree,True,0.05,0.02189630241685602,4841,106,14840,4684,0.315633423180593,0.8791208791208791,0.02031488065007618,0.03971208736659221,75,91,0.37771757824042584,5572,2.336328626444159,4148,2.6923180592991915,0.8391509433962264,1
200,3,5,cluster,True,0.05,0.016463022508038584,7775,128,22371,8322,0.3719994635912565,0.8627450980392157,0.006221719457013574,0.012354345079320511,51,51,0.37784551757816637,7910,2.4470924690181124,7048,2.615841938223593,0.8459612891690135,1
50,3,5,cluster,True,0.1,0.06991260923845194,801,56,3199,480,0.15004688965301657,0.8382352941176471,0.13701923076923078,0.23553719008264465,36,68,0.421546885540781,1191,1.8368355995055625,479,2.9796811503594873,0.7405439199749921,1
300,1,5,random,False,0.0,0.019733333333333332,3750,74,21917,0,0.0,0.7692307692307693,0.0006234802668495542,0.00124595066035385,18,13,0.3404810991205668,12763,2.500923645320197,10505,2.6054660765615734,0.9274079481680887,1
400,1,5,high-degree,False,0.0,0.01314479187412866,5021,66,29085,0,0.0,0.6666666666666666,0.00021044509136824383,0.0004207573632538569,13,9,0.3424852516396772,17138,2.562073506524602,15510,2.601822245143545,0.9410692796974386,1
75,3,5,high-degree,True,0.05,0.04722921914357683,1588,75,5579,1168,0.2093565155045707,0.9518072289156626,0.08254963427377221,0.15192307692307694,59,83,0.4107006598705037,2163,2.040234089246525,1104,2.9354723068650297,0.7904642409033877,1
100,1,5,cluster,False,0.0,0.056691449814126396,1076,61,6167,0,0.0,0.9047619047619048,0.02210587550901687,0.04315729699034639,33,42,0.39327411032173065,3204,2.1874015748031495,1779,2.83606291551808,0.8551970163774931,1
75,1,5,high-degree,False,0.0,0.06847545219638243,774,53,4419,0,0.0,1.0,0.06060606060606061,0.1142857142857143,47,58,0.40878261487835554,2171,2.102694828841952,1063,2.94071056800181,0.8250735460511428,1
300,3,5,random,True,0.05,0.011100033233632437,15045,167,40716,18711,0.45954907161803715,0.9195402298850575,0.004987842134796434,0.009921865310678409,82,87,0.36780229354280064,12851,2.5039382005452895,14737,2.5900383141762453,0.8605707829845761,1
300,3,5,high-degree,True,0.05,0.011983144587832499,15188,182,40812,18945,0.4642017053807704,0.9047619047619048,0.002369225014028306,0.004726074249113861,46,42,0.3605169873968302,12713,2.54507499613422,14633,2.584337939821621,0.8617073409781437,1
50,1,5,cluster,False,0.0,0.10398230088495575,452,47,2685,0,0.0,0.9215686274509803,0.11298076923076923,0.2012847965738758,29,51,0.42510394589169515,1157,1.852522639068564,468,2.9459962756052143,0.7508379888268156,1
150,3,5,cluster,True,0.05,0.026442307692307692,4992,132,15002,4893,0.32615651246500466,0.8970588235294118,0.015490096495683088,0.030454318522216677,49,68,0.37553966000661393,5525,2.292422279792746,4131,2.687574990001333,0.8296227169710705,1
400,3,5,cluster,True,0.1,0.010823315569876483,24207,262,62817,33784,0.5378161962526068,0.7941176470588235,0.0009470029111570972,0.001891749868628481,33,34,0.3659361050793588,17086,2.572060758282502,24725,2.580034067211105,0.869016349077479,1
75,3,5,high-degree,True,0.1,0.04577691811734365,1551,71,5472,1115,0.20376461988304093,0.9354838709677419,0.09090909090909091,0.1657142857142857,60,93,0.4026980006919679,2109,2.0075528700906347,1092,2.9528508771929824,0.7973318713450293,1
200,1,5,cluster,True,0.1,0.016873889875666074,7882,133,22544,8681,0.385069198012775,0.8888888888888888,0.006787330316742082,0.013471793432500703,47,54,0.39076654611543166,7724,2.3308179162609544,7036,2.6166163946061034,0.8415099361249113,1
150,1,5,cluster,True,0.1,0.020743479153830357,4869,101,14881,4795,0.32222296888649954,0.863013698630137,0.015997968511934992,0.031413612565445025,55,73,0.3874819876933385,5502,2.2561094819159337,4129,2.683489012835159,0.833210133727572,1
50,1,5,random,True,0.1,0.06918238993710692,795,55,3191,486,0.15230335318082106,0.890625,0.13701923076923078,0.2375,41,64,0.43303161220334035,1177,1.8403990024937655,470,2.971795675336885,0.7411469758696333,1
400,1,5,high-degree,True,0.1,0.010160251115149512,24212,246,62942,33899,0.538575196212386,0.8536585365853658,0.0012275963663147557,0.0024516671336508827,43,41,0.3676031129072666,17096,2.537750385208012,24816,2.5792952241746367,0.8680690159194179,1
300,1,5,high-degree,False,0.0,0.01725067385444744,3710,64,21671,0,0.0,0.9166666666666666,0.0006858282935345096,0.0013706311133262726,17,12,0.3510876901040207,12517,2.5277119848413077,10505,2.6053712334456187,0.9296756033408703,1
150,1,5,cluster,False,0.0,0.02735042735042735,1755,48,10165,0,0.0,0.896551724137931,0.006602336211274758,0.013108142172926645,30,29,0.40462260439720504,5581,2.3190874035989717,3696,2.7038858829316283,0.8856861780619774,1
400,3,5,high-degree,False,0.0,0.015463917525773196,5044,78,29161,0,0.0,1.0,0.00042089018273648766,0.0008414262174385583,16,12,0.3227521367521367,17214,2.568195283801398,15421,2.6036487088920133,0.9383765988820685,1
75,1,5,high-degree,True,0.05,0.035451680672268907,3808,135,9324,4945,0.5303517803517803,0.8888888888888888,0.11703239289446186,0.20683287165281627,69,126,0.45819115543562006,2131,1.9939894815927874,1118,2.907228657228657,0.6892964392964392,1
75,3,5,cluster,False,0.0,0.059366754617414245,758,45,4392,0,0.0,0.925,0.038662486938349006,0.07422266800401205,35,40,0.4035975880285504,2144,2.027448071216617,1060,2.931693989071038,0.8214936247723132,1
100,1,5,cluster,True,0.1,0.03758496601359456,2501,94,8240,2101,0.2549757281553398,0.8354430379746836,0.038394415357766144,0.07341490545050057,45,79,0.391690058968368,3176,2.141419491525424,1914,2.8099514563106798,0.8009708737864077,1
75,1,5,cluster,True,0.1,0.05044136191677175,1586,80,5560,1134,0.2039568345323741,0.8,0.06269592476489028,0.11627906976744184,45,75,0.3914808263096136,2178,2.0311143270622285,1095,2.9151079136690647,0.7879496402877698,1
50,1,5,cluster,True,0.05,0.07125,800,57,3167,451,0.14240606251973476,0.8194444444444444,0.14182692307692307,0.24180327868852455,40,72,0.42811262468085354,1188,1.8391089108910892,476,2.988948531733502,0.7483422797600252,1
150,3,5,random,False,0.0,0.032441661923733635,1757,57,10259,0,0.0,0.9142857142857143,0.008125952260030472,0.01610873395419079,37,35,0.36244123883524393,5675,2.248207047084503,3673,2.707378886831075,0.8850765181791598,1
150,1,5,random,False,0.0,0.027984009137635636,1751,49,10147,0,0.0,0.88,0.00558659217877095,0.01110269997476659,27,25,0.39380020840734803,5563,2.2940613026819925,3614,2.703853355671627,0.8884399329851188,1
75,3,5,random,True,0.05,0.059175531914893616,1504,89,5426,1104,0.20346479911537044,0.8809523809523809,0.07732497387669801,0.14217098943323725,56,84,0.40192758810546814,2074,1.929245283018868,1101,2.927386656837449,0.7928492443789164,1
300,1,5,high-degree,True,0.05,0.011472148541114058,15080,173,40847,18895,0.4625798712267731,0.8536585365853658,0.0021821809339734395,0.00435323383084577,45,41,0.34858000775981757,12798,2.4759036144578315,14689,2.5886111587142264,0.8618258378828311,1
75,1,5,cluster,False,0.0,0.0799475753604194,763,61,4412,0,0.0,0.9555555555555556,0.04493207941483804,0.08582834331337326,34,45,0.3981198708933099,2164,2.05,1057,2.9106980961015414,0.815049864007253,1
50,3,5,high-degree,True,0.1,0.08481012658227848,790,67,3182,443,0.139220615964802,0.9259259259259259,0.18028846153846154,0.30181086519114686,45,81,0.4365450586911536,1211,1.7451690821256038,479,2.9582023884349464,0.7331866750471402,1
