N,Hmax,obs_count,placement,cover_enabled,poison_rate,accuracy,total_guesses,correct_guesses,total_messages,dummy_messages,dummy_fraction,graph_precision,graph_recall,graph_f1,estimated_nodes,estimated_edges,avg_confidence,total_replies,avg_reply_delay,conversation_threads,avg_path_length,path_diversity
400,3,5,cluster,True,0.05,0.010010298661174047,24275,243,63570,33846,0.532420953279849,0.9375,0.0015783381852618288,0.003151370846318148,44,48,0.35398408805063025,17275,2.5246971109040075,24884,2.5781500707881078,0.8669026270253264
200,3,5,high-degree,False,0.0,0.02321724709784411,2412,56,13984,0,0.0,0.9047619047619048,0.0026866515837104072,0.005357394614408572,25,21,0.3871829922535713,7954,2.351684088269454,5775,2.6356550343249427,0.9015303203661327
200,3,5,high-degree,True,0.05,0.01486280487804878,7872,117,22348,8463,0.37869160551279757,0.9487179487179487,0.010463800904977375,0.020699300699300698,73,78,0.3765935839428475,7855,2.4257332071901607,7045,2.620681940218364,0.8490692679434402
150,1,5,cluster,False,0.0,0.03365658870507701,1753,59,10238,0,0.0,0.8888888888888888,0.006094464195022855,0.01210592686002522,27,27,0.3816699713500125,5637,2.2837666455294863,3669,2.7038484078921665,0.8790779449111155
100,1,5,random,False,0.0,0.043204320432043204,1111,48,6385,0,0.0,1.0,0.02036067481093659,0.039908779931584946,36,35,0.4018867022406619,3290,2.1963036963036964,1818,2.8349256068911513,0.8498042286609241
75,3,5,random,True,0.05,0.03994673768308921,1502,60,5488,1021,0.18604227405247814,0.9142857142857143,0.06687565308254964,0.12463485881207402,55,70,0.4161907265880134,2141,2.054804804804805,1107,2.9159985422740524,0.7935495626822158
50,1,5,high-degree,True,0.1,0.08074534161490683,805,65,3331,500,0.15010507355148603,0.8701298701298701,0.16105769230769232,0.2718052738336714,47,77,0.43723345601827995,1195,1.7879901960784315,485,2.988592014410087,0.7292104473131192
75,3,5,high-degree,False,0.0,0.06447368421052632,760,49,4534,0,0.0,0.9591836734693877,0.04911180773249739,0.0934393638170974,41,49,0.39362927796133185,2208,2.072039942938659,1070,2.924569916188796,0.8277459197176886
50,3,5,random,True,0.1,0.07436918990703852,753,56,3233,429,0.13269409217445097,0.875,0.1346153846153846,0.23333333333333334,45,64,0.41824477339784233,1168,1.7269279393173198,482,2.975873801422827,0.7281163006495515
50,1,5,random,False,0.0,0.07333333333333333,450,33,2797,0,0.0,0.8727272727272727,0.11538461538461539,0.20382165605095542,39,55,0.42157014829631195,1161,1.7776365946632782,488,2.9803360743653915,0.7575974258133714
