N,Hmax,obs_count,placement,cover_enabled,poison_rate,accuracy,total_guesses,correct_guesses,total_messages,dummy_messages,dummy_fraction,graph_precision,graph_recall,graph_f1,estimated_nodes,estimated_edges,avg_confidence,total_replies,avg_reply_delay,conversation_threads,avg_path_length,path_diversity
150,1,5,high-degree,False,0.0,0.02880184331797235,1736,50,10308,0,0.0,1.0,0.0063484002031488065,0.012616704516780217,30,25,0.3865351473924086,5609,2.2723214285714284,3682,2.7059565386107876,0.8836825766395033
400,1,5,high-degree,False,0.0,0.01722772277227723,5050,87,29434,0,0.0,1.0,0.00021044509136824383,0.0004208016270996248,11,6,0.3471471936836845,17261,2.533676935691695,15516,2.6049466603247944,0.9408846911734728
200,1,5,random,False,0.0,0.02091878589007383,2438,51,14035,0,0.0,0.9090909090909091,0.002828054298642534,0.005638567803777841,27,22,0.38581043201630844,7796,2.417166147206905,5798,2.645529034556466,0.9059494121838262
75,1,5,cluster,True,0.1,0.049210206561360874,1646,81,5886,1229,0.208800543662929,0.8441558441558441,0.06792058516196448,0.12572533849129597,47,77,0.4046411928835997,2195,2.0825556353194545,1107,2.90316004077472,0.7677539925246347
400,1,5,cluster,True,0.1,0.009051967994827447,24746,224,64218,34859,0.5428228845495032,0.8970588235294118,0.002139525095577146,0.004268868749781308,58,68,0.3535547543558756,17186,2.542676501580611,24928,2.5814880563082,0.8640100906287956
75,1,5,high-degree,False,0.0,0.05680317040951123,757,43,4585,0,0.0,1.0,0.05956112852664577,0.11242603550295859,47,57,0.40797675125411265,2123,2.0308734939759034,1073,2.9164667393675026,0.809814612868048
100,3,5,random,False,0.0,0.05462962962962963,1080,59,6371,0,0.0,0.9230769230769231,0.020942408376963352,0.040955631399317405,40,39,0.375632197464362,3175,2.074603174603175,1831,2.831894522053053,0.8518285983362109
50,1,5,cluster,False,0.0,0.09168443496801706,469,43,2841,0,0.0,0.8571428571428571,0.11538461538461539,0.20338983050847456,32,56,0.42030807386205504,1195,1.7426108374384237,476,2.968673002463921,0.753255895811334
300,3,5,random,True,0.1,0.012335204281425401,15322,189,41021,19205,0.46817483727846715,0.8545454545454545,0.0029303572541929048,0.005840685969926681,57,55,0.36307059545418,12787,2.526331857731644,14751,2.585066185612247,0.863265156870871
100,3,5,random,True,0.05,0.04221425726802071,2511,106,8510,2046,0.24042303172737955,0.8666666666666667,0.03781268179173938,0.07246376811594203,56,75,0.3951341221909022,3268,2.1305456399796023,1921,2.8155111633372503,0.7977673325499413
300,3,5,high-degree,True,0.1,0.01167084267440327,15166,177,40639,18940,0.46605477496985653,0.8913043478260869,0.002556269094083172,0.0050979173142679515,45,46,0.3598791143579544,12670,2.4780600461893765,14764,2.584463200374025,0.8614631265533108
300,3,5,random,True,0.05,0.011225688552408302,15322,172,40949,19210,0.46912012503357836,0.8405797101449275,0.0036161855477274143,0.007201390613359821,69,69,0.3659968072306026,12710,2.4711921544590867,14708,2.5856797479791935,0.861364135876334
400,1,5,random,False,0.0,0.017885532591414944,5032,90,29347,0,0.0,0.8947368421052632,0.0005962610922100242,0.0011917280056081318,21,19,0.38578804896132574,17174,2.5307783018867926,15416,2.6033325382492247,0.9388353153644324
300,1,5,random,False,0.0,0.020555258942872398,3746,77,21747,0,0.0,1.0,0.00043643618679468796,0.0008724915866882712,11,7,0.3678572601492613,12718,2.4872389791183296,10472,2.6091874741343632,0.9301972685887708
75,3,5,cluster,True,0.1,0.056319580877537655,1527,86,5731,1139,0.1987436747513523,0.7789473684210526,0.07732497387669801,0.14068441064638781,53,95,0.4004613885418654,2130,1.9511472982975573,1102,2.9167684522770894,0.7749083929506194
75,3,5,cluster,True,0.05,0.054287476866132015,1621,88,5841,1245,0.21314843348741655,0.8571428571428571,0.06896551724137931,0.1276595744680851,46,77,0.3986186660384944,2134,2.030007501875469,1111,2.9019003595274784,0.7776065742167437
200,3,5,high-degree,True,0.05,0.01726528040327662,7935,137,22775,8656,0.38006586169045004,0.9137931034482759,0.007494343891402715,0.014866760168302946,58,58,0.3834708839416455,7880,2.4271523178807946,7042,2.618836443468716,0.8457080131723381
50,1,5,random,True,0.1,0.07201889020070838,847,61,3357,538,0.16026213881441764,0.8405797101449275,0.13942307692307693,0.23917525773195877,40,69,0.42765544855797144,1173,1.7670025188916876,483,2.9708072683944,0.7220732797140303
300,1,5,random,True,0.1,0.013661379087083198,15445,211,41423,19653,0.47444656350336767,0.8,0.002493921067398217,0.0049723413512337625,49,50,0.3606111513955259,12741,2.4931717047721342,14801,2.5815609685440455,0.8577360403640489
75,3,5,high-degree,True,0.1,0.05060858424087124,1561,79,5797,1150,0.1983784716232534,0.8791208791208791,0.08359456635318704,0.15267175572519084,64,91,0.40588869160934815,2185,2.0348583877995643,1104,2.910470933241332,0.779023632913576
300,1,5,high-degree,False,0.0,0.0172322375397667,3772,65,21749,0,0.0,0.9285714285714286,0.0008105243469044205,0.001619634959197658,19,14,0.32963355166539243,12720,2.5184096534653464,10539,2.611154535840728,0.9291001885144144
150,3,5,random,True,0.05,0.021712412945514133,4882,106,15030,4732,0.31483699268130405,0.8709677419354839,0.020568816658202132,0.04018853882411312,72,93,0.3888713876279531,5599,2.4105263157894736,4137,2.6861610113107117,0.8365934797072522
50,3,5,cluster,True,0.05,0.08417085427135679,796,67,3273,461,0.14084937366330583,0.8983050847457628,0.12740384615384615,0.2231578947368421,34,59,0.4318208911995072,1166,1.8068181818181819,483,2.9645585090131377,0.7289948059883898
200,1,5,cluster,True,0.05,0.0201744110373552,7683,155,22336,8286,0.37097063037249284,0.8378378378378378,0.008766968325791855,0.017352364959417856,61,74,0.3681275302062238,7811,2.416805522494644,6993,2.625044770773639,0.8502417621776505
150,1,5,cluster,True,0.05,0.026463512429831595,4988,132,15284,4980,0.32583093431038995,0.8607594936708861,0.017267648552564754,0.03385611152601444,63,79,0.37652463829895566,5605,2.258299083148909,4158,2.6880397801622613,0.8352525516880398
150,1,5,high-degree,True,0.1,0.024319268343379753,4811,117,14910,4624,0.31012743125419184,0.8987341772151899,0.01802945657694261,0.03534976350510331,71,79,0.38278507635604025,5587,2.3116677235256815,4137,2.69382964453387,0.8414486921529175
200,1,5,high-degree,False,0.0,0.02679307502061006,2426,65,14153,0,0.0,1.0,0.0012726244343891403,0.002542013839853128,12,9,0.39093092435429494,7914,2.434864546525324,5828,2.6417720624602556,0.8991026637462022
100,3,5,cluster,True,0.05,0.03127506014434643,2494,78,8488,2078,0.24481621112158342,0.8478260869565217,0.04537521815008726,0.08614025400331307,60,92,0.3853570949009449,3214,2.1272822117892543,1921,2.816918001885014,0.8073751178133836
150,1,5,cluster,False,0.0,0.0327774583093732,1739,57,10259,0,0.0,1.0,0.0045708481462671405,0.00910010111223458,21,18,0.38581189948072336,5560,2.2933419105821806,3672,2.708061214543328,0.8880007798030998
200,3,5,random,True,0.05,0.016824794433902595,7905,133,22748,8555,0.37607701775980307,0.8947368421052632,0.007211538461538462,0.01430775704867443,56,57,0.3713552482255501,7954,2.3937298294144767,7044,2.62396694214876,0.8450413223140496
200,1,5,high-degree,True,0.05,0.01679603002926581,7859,132,22684,8436,0.37189208252512784,0.9375,0.008484162895927601,0.016816143497757848,62,64,0.37744889571172585,8009,2.453941338221815,7098,2.6265208957855757,0.8507758772703227
75,3,5,random,True,0.1,0.044529262086514,1572,70,5794,1145,0.19761822575077667,0.8375,0.07001044932079414,0.1292189006750241,55,80,0.4131478771035411,2187,1.9935530085959885,1106,2.9261304798066967,0.7808077321366931
75,1,5,high-degree,True,0.1,0.04474708171206226,1542,69,5741,1121,0.1952621494513151,0.891566265060241,0.07732497387669801,0.1423076923076923,56,83,0.4101014990911466,2158,2.038123167155425,1103,2.9153457585786446,0.7753004703013412
150,3,5,high-degree,False,0.0,0.030389908256880736,1744,53,10326,0,0.0,0.9090909090909091,0.005078720162519045,0.0101010101010101,27,22,0.3962439241491334,5627,2.271667191931926,3694,2.7066627929498353,0.8865969397637032
400,3,5,cluster,False,0.0,0.015115354017501989,5028,76,29320,0,0.0,0.8571428571428571,0.00021044509136824383,0.0004207868714496108,11,7,0.3331808817114438,17147,2.5309787132833867,15592,2.6022510231923603,0.9389836289222374
75,3,5,cluster,False,0.0,0.08244680851063829,752,62,4595,0,0.0,0.975609756097561,0.04179728317659352,0.08016032064128256,34,41,0.4091548392123003,2133,1.9489267209474463,1065,2.9151251360174104,0.8145810663764962
300,1,5,cluster,True,0.1,0.013000452752085893,15461,201,41427,19736,0.4764042774036257,0.8076923076923077,0.002618617120768128,0.005220309489776894,52,52,0.356221497679465,12662,2.523117365084274,14848,2.5857532527095857,0.8608154102396988
400,3,5,high-degree,False,0.0,0.01606425702811245,4980,80,29372,0,0.0,1.0,0.0003156676370523658,0.0006311360448807854,14,9,0.3584036311000288,17199,2.5349414686058886,15517,2.602240228789323,0.9398747106087431
100,1,5,cluster,True,0.05,0.034976152623211444,2516,88,8486,2075,0.24452038651897243,0.8533333333333334,0.03723094822571262,0.0713489409141583,54,75,0.39690486605518627,3215,2.156494522691706,1924,2.809215177940137,0.8050907376855998
200,3,5,cluster,False,0.0,0.023759899958315966,2399,57,14036,0,0.0,1.0,0.0029694570135746605,0.005921330889609474,23,21,0.39584101865426385,7797,2.396702230843841,5868,2.644841835280707,0.9081647192932459
200,3,5,cluster,True,0.05,0.016353335050218902,7766,127,22575,8383,0.3713399778516058,0.9253731343283582,0.008766968325791855,0.017369379464911055,52,67,0.36393896987571794,7953,2.3980087983329472,7033,2.631450719822813,0.8492580287929126
150,3,5,cluster,True,0.05,0.02127659574468085,4841,103,14979,4704,0.31403965551772484,0.8481012658227848,0.0170137125444388,0.03335822753298481,60,79,0.37551334710821693,5576,2.29326458266194,4156,2.6912343948194137,0.8350357166700046
200,1,5,cluster,True,0.1,0.018636711769211133,7834,146,22508,8353,0.37111249333570284,0.8113207547169812,0.006080316742081448,0.012070175438596491,49,53,0.3589922732765038,7916,2.408172742047829,6975,2.622534210058646,0.8468544517504887
300,3,5,cluster,False,0.0,0.025545502927088876,3758,96,21797,0,0.0,0.8461538461538461,0.0006858282935345096,0.001370545726389235,17,13,0.3337386914891696,12768,2.5207667731629395,10383,2.608753498187824,0.9254484562095702
50,1,5,random,True,0.05,0.088348271446863,781,69,3299,481,0.14580175810851773,0.855072463768116,0.14182692307692307,0.24329896907216494,43,69,0.42390394895130684,1172,1.7263556116015133,486,2.966353440436496,0.7277963019096696
150,1,5,cluster,True,0.1,0.019987242185838826,4703,94,14769,4495,0.3043537138601124,0.9206349206349206,0.014728288471305232,0.028992751812046986,49,63,0.38982358329174555,5575,2.301602564102564,4146,2.6902972442277746,0.8392579050714334
100,3,5,cluster,False,0.0,0.03923357664233577,1096,43,6524,0,0.0,0.967741935483871,0.017452006980802792,0.03428571428571428,30,31,0.3823214131296323,3328,2.179,1835,2.8367565910484367,0.8517780502759044
50,3,5,random,True,0.05,0.06472081218274112,788,51,3253,451,0.13864125422686752,0.78125,0.1201923076923077,0.20833333333333334,41,64,0.4182441136391629,1156,1.88715953307393,491,2.9612665232093454,0.7291730710113741
300,3,5,high-degree,False,0.0,0.018654755648975303,3806,71,21836,0,0.0,1.0,0.0008105243469044205,0.0016197358584600053,18,13,0.3331817770829963,12807,2.545510079413561,10532,2.609635464370764,0.9266807107528852
150,3,5,high-degree,True,0.1,0.023064250411861616,4856,112,14950,4688,0.31357859531772575,0.8714285714285714,0.015490096495683088,0.030439121756487025,58,70,0.3717510737042987,5563,2.289045033535612,4168,2.6780602006688965,0.8377926421404682
