N,Hmax,obs_count,placement,cover_enabled,accuracy,graph_f1,graph_precision,graph_recall,dummy_fraction,avg_path_length,path_diversity,total_replies,conversation_threads
50,1,5,random,True,0.059,0.215,0.765,0.125,0.15,2.965,0.731,1185,489
50,2,5,cluster,True,0.061,0.232,0.836,0.135,0.142,2.972,0.735,1173,485
50,3,5,cluster,True,0.065,0.211,0.761,0.123,0.142,2.951,0.726,1181,487
50,3,10,random,True,0.065,0.392,0.823,0.257,0.155,2.957,0.73,1185,493
50,1,5,high-degree,True,0.066,0.245,0.811,0.144,0.147,2.973,0.731,1177,487
50,1,10,cluster,False,0.066,0.292,0.813,0.178,0.0,2.979,0.771,1148,487
50,3,5,random,True,0.067,0.215,0.765,0.125,0.147,2.969,0.73,1190,488
50,2,10,random,True,0.067,0.396,0.837,0.26,0.142,2.962,0.732,1208,489
50,1,10,high-degree,True,0.068,0.446,0.81,0.308,0.444,2.959,0.653,1172,491
50,3,10,cluster,False,0.068,0.295,0.86,0.178,0.0,2.963,0.763,1170,486
50,1,5,high-degree,False,0.068,0.223,0.898,0.127,0.0,2.967,0.75,1200,487
50,3,5,cluster,True,0.069,0.234,0.803,0.137,0.145,2.979,0.734,1181,487
50,2,10,cluster,True,0.069,0.379,0.811,0.248,0.147,2.956,0.724,1196,492
50,2,5,high-degree,True,0.07,0.264,0.844,0.156,0.143,2.976,0.735,1185,490
50,2,5,random,True,0.071,0.214,0.836,0.123,0.149,2.964,0.733,1200,492
50,1,5,high-degree,True,0.073,0.257,0.851,0.151,0.146,2.973,0.737,1195,489
50,1,10,cluster,True,0.074,0.355,0.798,0.228,0.157,2.966,0.724,1184,489
50,3,5,high-degree,True,0.075,0.266,0.815,0.159,0.149,2.984,0.735,1192,492
50,3,10,random,False,0.076,0.351,0.883,0.219,0.0,2.976,0.752,1190,477
50,3,5,random,True,0.076,0.243,0.843,0.142,0.147,2.977,0.733,1234,487
50,1,10,high-degree,False,0.076,0.363,0.888,0.228,0.0,2.976,0.759,1166,480
50,3,10,high-degree,True,0.076,0.409,0.831,0.272,0.146,2.983,0.73,1218,494
50,1,5,random,True,0.077,0.237,0.795,0.139,0.151,2.968,0.735,1181,492
50,1,5,cluster,True,0.078,0.258,0.79,0.154,0.443,2.948,0.645,1168,485
50,2,5,high-degree,True,0.078,0.248,0.813,0.147,0.142,2.951,0.737,1190,487
50,2,10,high-degree,True,0.078,0.414,0.827,0.276,0.133,2.963,0.735,1163,488
50,2,5,random,True,0.078,0.229,0.757,0.135,0.146,2.944,0.718,1174,490
50,3,5,high-degree,True,0.078,0.261,0.865,0.154,0.15,2.971,0.73,1172,489
50,2,10,high-degree,True,0.08,0.412,0.832,0.274,0.14,2.972,0.731,1193,491
50,3,5,random,False,0.08,0.211,0.862,0.12,0.0,2.977,0.764,1176,485
50,2,5,random,False,0.081,0.199,0.825,0.113,0.0,2.986,0.775,1195,486
50,2,5,cluster,True,0.085,0.233,0.862,0.135,0.134,2.974,0.733,1192,490
50,1,5,cluster,True,0.085,0.207,0.735,0.12,0.15,2.969,0.727,1189,492
50,1,10,random,True,0.086,0.369,0.794,0.24,0.138,2.969,0.738,1188,487
50,2,10,cluster,True,0.087,0.409,0.874,0.267,0.144,2.962,0.742,1182,487
50,1,10,cluster,True,0.087,0.336,0.781,0.214,0.143,2.968,0.733,1194,491
50,3,5,high-degree,False,0.088,0.241,0.879,0.139,0.0,2.969,0.76,1196,490
50,1,10,random,False,0.088,0.318,0.862,0.195,0.0,2.969,0.757,1199,479
50,3,10,cluster,True,0.089,0.37,0.86,0.236,0.137,2.972,0.721,1206,491
50,2,10,random,True,0.089,0.362,0.842,0.231,0.136,2.958,0.729,1160,489
50,2,5,high-degree,False,0.089,0.215,0.879,0.123,0.0,2.998,0.781,1158,485
50,3,10,high-degree,True,0.09,0.405,0.841,0.267,0.132,2.967,0.739,1209,489
50,3,10,random,True,0.09,0.383,0.795,0.252,0.15,2.964,0.733,1209,488
50,1,10,random,True,0.091,0.417,0.846,0.276,0.145,2.972,0.73,1202,482
50,1,5,cluster,False,0.092,0.185,0.86,0.103,0.0,2.985,0.766,1192,488
50,3,10,cluster,True,0.092,0.38,0.817,0.248,0.135,2.959,0.73,1193,483
50,2,5,cluster,False,0.092,0.181,0.857,0.101,0.0,2.981,0.763,1180,487
50,1,5,random,False,0.094,0.223,0.883,0.127,0.0,2.999,0.77,1152,480
50,3,10,high-degree,False,0.096,0.346,0.908,0.214,0.0,2.974,0.763,1193,481
50,2,10,cluster,False,0.097,0.301,0.802,0.185,0.0,2.997,0.771,1199,486
50,3,5,cluster,False,0.097,0.198,0.939,0.111,0.0,2.979,0.765,1193,486
50,2,10,high-degree,False,0.098,0.347,0.918,0.214,0.0,2.979,0.76,1168,476
50,1,10,high-degree,True,0.104,0.415,0.857,0.274,0.14,2.965,0.731,1189,489
50,2,10,random,False,0.105,0.333,0.895,0.204,0.0,2.976,0.764,1173,486
75,2,5,cluster,True,0.039,0.132,0.802,0.072,0.204,2.925,0.785,2188,1113
75,1,5,high-degree,True,0.04,0.141,0.89,0.076,0.193,2.924,0.792,2158,1095
75,3,5,high-degree,True,0.042,0.155,0.931,0.085,0.188,2.931,0.786,2114,1091
75,3,10,high-degree,True,0.044,0.27,0.894,0.159,0.2,2.934,0.79,2212,1101
75,2,10,high-degree,True,0.045,0.268,0.888,0.158,0.202,2.943,0.787,2153,1100
75,2,10,random,True,0.048,0.247,0.852,0.144,0.194,2.932,0.794,2172,1102
75,2,10,high-degree,False,0.048,0.19,0.944,0.106,0.0,2.94,0.825,2178,1072
75,1,5,random,True,0.048,0.143,0.843,0.078,0.204,2.936,0.791,2184,1103
