N,Hmax,obs_count,placement,cover_enabled,poison_rate,accuracy,total_guesses,correct_guesses,total_messages,dummy_messages,dummy_fraction,graph_precision,graph_recall,graph_f1,estimated_nodes,estimated_edges,avg_confidence,total_replies,avg_reply_delay,conversation_threads,avg_path_length,path_diversity
150,3,5,cluster,False,0.0,0.025331030512377662,1737,44,10137,0,0.0,0.7894736842105263,0.003809040121889284,0.0075815011372251705,20,19,0.3979122425708098,5533,2.2782271109673244,3659,2.7022787807043502,0.8858636677518004
75,1,10,cluster,True,0.1,0.057803468208092484,1557,90,5704,1115,0.19547685834502104,0.8513513513513513,0.13166144200626959,0.22805429864253393,57,148,0.41529015021520665,2208,2.0597864768683274,1100,2.9107643758765778,0.7824333800841514
100,3,10,high-degree,True,0.05,0.03588516746411483,2508,90,8201,2027,0.24716497988050237,0.8993288590604027,0.07795229784758581,0.14346895074946467,78,149,0.393077044693408,3170,2.143919277748274,1898,2.8266065114010486,0.8130715766369955
400,1,5,random,True,0.05,0.01044397116644823,24416,255,63787,34263,0.537147067584304,0.8,0.0014029672757882921,0.0028010223731662056,52,50,0.36361919458136904,17184,2.526148409893993,24808,2.581074513615627,0.8652703528932227
400,3,10,cluster,False,0.0,0.01994415636218588,5014,100,29492,0,0.0,0.8666666666666667,0.000455964364631195,0.0009114492042347332,23,15,0.32689127465180895,17152,2.560511061161718,15529,2.5983317509833177,0.9368981418689815
100,2,5,random,True,0.05,0.03825586178527355,2431,93,8259,2026,0.24530814868628162,0.8656716417910447,0.03374054682955206,0.06494960806270995,50,67,0.39878868997309236,3229,2.106350025813113,1909,2.838237074706381,0.8138999878919966
75,2,10,high-degree,True,0.05,0.04548366431774504,1561,71,5682,1148,0.20204153467089053,0.888235294117647,0.15778474399164055,0.2679680567879325,70,170,0.4081504466404994,2153,1.8718135469774217,1100,2.942801830341429,0.7873988032382964
200,1,10,cluster,False,0.0,0.029801324503311258,2416,72,14045,0,0.0,0.875,0.004949095022624434,0.00984251968503937,43,40,0.4047557173861609,7903,2.406562718175471,5768,2.6447134211463155,0.901815592737629
300,2,5,high-degree,True,0.1,0.009932903565320353,15202,151,41090,19282,0.46926259430518374,0.9743589743589743,0.002369225014028306,0.004726956089065804,43,39,0.37285670197763837,12795,2.493371933566966,14785,2.582818203942565,0.8595522024823558
150,2,10,cluster,True,0.05,0.028991596638655463,4760,138,14673,4544,0.30968445444012815,0.9022556390977443,0.03047232097511427,0.05895357406042741,88,133,0.37875462717675773,5525,2.2691190706679576,4096,2.68465889729435,0.8389559054044844
100,1,10,random,True,0.1,0.03821399839098954,2486,95,8260,2003,0.24249394673123487,0.9166666666666666,0.07678883071553229,0.14170692431561996,78,144,0.39318038179611503,3253,2.132085020242915,1905,2.836924939467312,0.8177966101694916
400,2,10,random,True,0.1,0.00970472847408631,24215,235,63442,33921,0.5346773430850226,0.8434782608695652,0.003402195643786609,0.006777055823377349,112,115,0.37429843066566143,17181,2.5560004710870334,24888,2.57710980107815,0.8644588758235869
75,3,10,high-degree,False,0.0,0.06919060052219321,766,53,4557,0,0.0,0.9411764705882353,0.10031347962382445,0.18130311614730876,59,102,0.40167604365540827,2176,2.0329188002926117,1054,2.938994952819838,0.8183015141540487
400,2,10,cluster,True,0.05,0.010609213694046599,24507,260,63935,34310,0.5366387737545945,0.970873786407767,0.0035074181894707308,0.006989585517578808,88,103,0.36451141043980606,17285,2.5626753975678205,24848,2.5814342691796357,0.8661922264800188
75,1,5,random,True,0.05,0.04866969500324465,1541,75,5655,1125,0.1989389920424403,0.8588235294117647,0.07628004179728318,0.14011516314779268,55,85,0.41209911042326663,2149,2.0029806259314458,1108,2.935632183908046,0.7932802829354554
100,3,5,random,True,0.1,0.02832415420928403,2542,72,8418,2129,0.2529104300308862,0.8333333333333334,0.03781268179173938,0.07234279354479689,58,78,0.38745594623998814,3285,2.128024193548387,1910,2.8365407460204324,0.813376098835828
100,3,5,cluster,True,0.1,0.03340040241448692,2485,83,8222,1991,0.24215519338360497,0.8714285714285714,0.035485747527632346,0.06819452207937396,49,70,0.4059428458064359,3227,2.2131484334874165,1894,2.8325225006081247,0.8134273899294575
300,3,10,cluster,True,0.05,0.010795603245223764,15284,165,41200,19357,0.46983009708737866,0.9009009009009009,0.006234802668495542,0.01238390092879257,90,111,0.3684721884343785,12830,2.4623396226415095,14781,2.586650485436893,0.8617718446601942
150,1,10,cluster,False,0.0,0.04018109790605546,1767,71,10236,0,0.0,0.9787234042553191,0.011681056373793804,0.023086574654956084,42,47,0.3933338542416193,5632,2.3695514845230576,3610,2.705939820242282,0.8876514263384134
